Global Land and Ocean July Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1850,-0.03
1851,0.07
1852,0.08
1853,0.13
1854,0.00
1855,-0.12
1856,-0.14
1857,-0.16
1858,-0.14
1859,-0.13
1860,-0.21
1861,-0.15
1862,-0.27
1863,-0.23
1864,-0.09
1865,0.01
1866,0.00
1867,-0.18
1868,-0.08
1869,-0.09
1870,-0.02
1871,-0.02
1872,-0.10
1873,-0.08
1874,-0.23
1875,-0.09
1876,-0.17
1877,0.29
1878,0.22
1879,-0.01
1880,-0.21
1881,0.00
1882,-0.21
1883,-0.08
1884,-0.33
1885,-0.26
1886,-0.18
1887,-0.26
1888,-0.01
1889,-0.07
1890,-0.26
1891,-0.11
1892,-0.32
1893,-0.20
1894,-0.21
1895,-0.10
1896,-0.07
1897,-0.02
1898,-0.12
1899,-0.10
1900,-0.09
1901,-0.11
1902,-0.17
1903,-0.36
1904,-0.43
1905,-0.16
1906,-0.13
1907,-0.29
1908,-0.33
1909,-0.42
1910,-0.29
1911,-0.41
1912,-0.36
1913,-0.34
1914,-0.21
1915,-0.05
1916,-0.31
1917,-0.18
1918,-0.27
1919,-0.26
1920,-0.29
1921,-0.12
1922,-0.29
1923,-0.31
1924,-0.30
1925,-0.22
1926,-0.22
1927,-0.17
1928,-0.19
1929,-0.37
1930,-0.08
1931,-0.01
1932,-0.21
1933,-0.23
1934,-0.09
1935,-0.11
1936,-0.04
1937,-0.02
1938,-0.02
1939,0.04
1940,0.10
1941,0.21
1942,0.02
1943,0.09
1944,0.16
1945,0.11
1946,-0.10
1947,0.00
1948,-0.03
1949,-0.07
1950,-0.06
1951,0.04
1952,0.06
1953,0.00
1954,-0.08
1955,-0.09
1956,-0.10
1957,0.07
1958,0.12
1959,0.09
1960,0.01
1961,0.07
1962,0.03
1963,0.08
1964,-0.03
1965,-0.07
1966,0.13
1967,0.02
1968,-0.09
1969,0.03
1970,0.05
1971,-0.03
1972,0.07
1973,0.15
1974,0.01
1975,0.02
1976,0.00
1977,0.22
1978,0.08
1979,0.12
1980,0.31
1981,0.32
1982,0.18
1983,0.23
1984,0.17
1985,0.04
1986,0.17
1987,0.48
1988,0.36
1989,0.30
1990,0.41
1991,0.48
1992,0.14
1993,0.26
1994,0.32
1995,0.49
1996,0.37
1997,0.42
1998,0.70
1999,0.38
2000,0.40
2001,0.62
2002,0.64
2003,0.57
2004,0.36
2005,0.64
2006,0.56
2007,0.59
2008,0.59
2009,0.74
2010,0.67
2011,0.70
2012,0.63
2013,0.62
2014,0.65
2015,0.79
2016,0.87
2017,0.85
2018,0.84
2019,0.92
2020,0.91
2021,0.90
2022,0.90
2023,1.18
2024,1.21
