/* DATA DESCRIPTION:
Citation:	Krastel, Sebastian (2024): Master tracks in different resolutions of POLARSTERN cruise PS141, Hobart - Walvis Bay, 2024-02-06 - 2024-04-14 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.969140 
Abstract:	Raw data acquired by position sensors on board RV Polarstern during expedition PS141 was processed to receive a validated master track which can be used as reference of further expedition data. During PS141 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.
Other version:	Generalized master track of POLARSTERN cruise PS141 (URI: https://download.pangaea.de/reference/126543/attachments/PS141_mastertrack_generalized.zip)
	Krastel, Sebastian (2024): Master track of POLARSTERN cruise PS141 in 1 sec resolution (zipped, 261 MB) [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.969139 
Data processing report:	Processing report for navigation sensors from POLARSTERN cruise PS141 (URI: https://download.pangaea.de/reference/126545/attachments/PS141_nav.pdf)
Further details:	Station list of POLARSTERN cruise PS141 (URI: https://www.pangaea.de/expeditions/events/PS141)
	Trackline map of navigation sensors from POLARSTERN cruise PS141 (URI: https://download.pangaea.de/reference/126546/attachments/PS141_nav.png)
Coverage:	MEDIAN LATITUDE: -58.785629 * MEDIAN LONGITUDE: 87.938047 * SOUTH-BOUND LATITUDE: -66.806451 * WEST-BOUND LONGITUDE: 13.931928 * NORTH-BOUND LATITUDE: -22.846739 * EAST-BOUND LONGITUDE: 147.503406
	DATE/TIME START: 2024-02-06T06:20:00 * DATE/TIME END: 2024-04-14T05:59:59
Event(s):	PS141-track * LATITUDE START: -42.893200 * LONGITUDE START: 147.341100 * LATITUDE END: -22.941000 * LONGITUDE END: 14.503000 * DATE/TIME START: 2024-02-06T00:00:00 * DATE/TIME END: 2024-04-14T00:00:00 * CAMPAIGN: PS141 (EASI-3) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163 ) * METHOD/DEVICE: Underway cruise track measurements (CT) * COMMENT: Hobart - Walvis Bay
Comment:	This dataset contains the master track in 10 min resolution, for other resolutions please see "Other version" references.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Speed [kn] (Speed) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
	Course [deg] (Course) * METHOD/DEVICE: Calculated * COMMENT: 10-min average
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	19580 data points
*/
Date/Time	Latitude	Longitude	Speed [kn]	Course [deg]
2024-02-06T06:20	-42.88162	147.34153	0.000	270.0
2024-02-06T06:30	-42.88162	147.34153	0.000	90.0
2024-02-06T06:40	-42.88163	147.34153	0.001	114.4
2024-02-06T06:50	-42.88163	147.34153	0.001	251.2
2024-02-06T07:00	-42.88162	147.34153	0.001	339.8
2024-02-06T07:10	-42.88167	147.34187	0.093	99.4
2024-02-06T07:20	-42.89417	147.35853	6.298	135.6
2024-02-06T07:30	-42.91410	147.37962	9.080	142.1
2024-02-06T07:40	-42.94024	147.37866	9.407	181.6
2024-02-06T07:50	-42.97337	147.37049	12.111	190.3
2024-02-06T08:00	-43.00820	147.36079	12.788	191.6
2024-02-06T08:10	-43.03873	147.38037	12.137	154.8
2024-02-06T08:20	-43.06911	147.40478	12.685	149.5
2024-02-06T08:30	-43.09390	147.42452	10.326	149.8
2024-02-06T08:40	-43.11737	147.44092	9.484	152.9
2024-02-06T08:50	-43.14153	147.45443	9.393	157.7
2024-02-06T09:00	-43.16599	147.46827	9.522	157.5
2024-02-06T09:10	-43.19042	147.48214	9.518	157.4
2024-02-06T09:20	-43.21508	147.49590	9.581	157.8
2024-02-06T09:30	-43.24074	147.50112	9.332	171.5
2024-02-06T09:40	-43.25782	147.50341	6.174	174.4
2024-02-06T09:50	-43.28268	147.49249	9.391	197.8
2024-02-06T10:00	-43.30957	147.48703	9.778	188.4
2024-02-06T10:10	-43.33597	147.48174	9.599	188.3
2024-02-06T10:20	-43.36227	147.47643	9.564	188.4
2024-02-06T10:30	-43.38858	147.47105	9.570	188.5
2024-02-06T10:40	-43.41451	147.46583	9.428	188.4
2024-02-06T10:50	-43.44049	147.46046	9.451	188.6
2024-02-06T11:00	-43.46644	147.45529	9.436	188.3
2024-02-06T11:10	-43.49190	147.45054	9.242	187.7
2024-02-06T11:20	-43.51701	147.44536	9.133	188.5
2024-02-06T11:30	-43.54151	147.43993	8.928	189.2
2024-02-06T11:40	-43.56612	147.43482	8.956	188.6
2024-02-06T11:50	-43.59244	147.42945	9.570	188.4
2024-02-06T12:00	-43.61898	147.42429	9.645	188.0
2024-02-06T12:10	-43.64489	147.41885	9.427	188.7
2024-02-06T12:20	-43.67052	147.41355	9.326	188.5
2024-02-06T12:30	-43.69647	147.40839	9.433	188.2
2024-02-06T12:40	-43.72202	147.40320	9.288	188.4
2024-02-06T12:50	-43.74708	147.39813	9.115	188.3
2024-02-06T13:00	-43.77191	147.39302	9.031	188.5
2024-02-06T13:10	-43.79643	147.38788	8.921	188.6
2024-02-06T13:20	-43.82089	147.38296	8.892	188.3
2024-02-06T13:30	-43.84605	147.37784	9.153	188.4
2024-02-06T13:40	-43.87106	147.37265	9.098	188.5
2024-02-06T13:50	-43.89480	147.36791	8.629	188.2
2024-02-06T14:00	-43.92093	147.36249	9.505	188.5
2024-02-06T14:10	-43.94720	147.35712	9.556	188.4
2024-02-06T14:20	-43.97356	147.35189	9.578	188.2
2024-02-06T14:30	-44.00057	147.34621	9.832	188.6
2024-02-06T14:40	-44.02636	147.34086	9.381	188.5
2024-02-06T14:50	-44.05084	147.33603	8.897	188.1
2024-02-06T15:00	-44.07496	147.33096	8.778	188.6
2024-02-06T15:10	-44.09989	147.32583	9.065	188.4
2024-02-06T15:20	-44.12472	147.32096	9.025	188.0
2024-02-06T15:30	-44.14904	147.31594	8.844	188.4
2024-02-06T15:40	-44.17368	147.31075	8.967	188.6
2024-02-06T15:50	-44.19290	147.29842	7.616	204.8
2024-02-06T16:00	-44.19263	147.26060	9.791	270.5
2024-02-06T16:10	-44.19222	147.22186	10.029	270.8
2024-02-06T16:20	-44.19208	147.18261	10.161	270.3
2024-02-06T16:30	-44.19166	147.14347	10.134	270.8
2024-02-06T16:40	-44.19137	147.10359	10.325	270.6
2024-02-06T16:50	-44.19110	147.06312	10.476	270.5
2024-02-06T17:00	-44.19080	147.02371	10.203	270.6
2024-02-06T17:10	-44.19060	146.98492	10.041	270.4
2024-02-06T17:20	-44.19013	146.94903	9.293	271.0
2024-02-06T17:30	-44.18986	146.91317	9.285	270.6
2024-02-06T17:40	-44.18955	146.87665	9.453	270.7
2024-02-06T17:50	-44.18929	146.83964	9.583	270.6
2024-02-06T18:00	-44.18891	146.80226	9.679	270.8
2024-02-06T18:10	-44.18870	146.76473	9.715	270.4
2024-02-06T18:20	-44.18842	146.72786	9.546	270.6
2024-02-06T18:30	-44.18777	146.69171	9.360	271.4
2024-02-06T18:40	-44.18774	146.65594	9.261	270.1
2024-02-06T18:50	-44.18750	146.61961	9.407	270.5
2024-02-06T19:00	-44.18726	146.58343	9.367	270.5
2024-02-06T19:10	-44.18696	146.54705	9.419	270.6
2024-02-06T19:20	-44.18662	146.51048	9.468	270.7
2024-02-06T19:30	-44.18632	146.47365	9.536	270.6
2024-02-06T19:40	-44.18598	146.43718	9.442	270.7
2024-02-06T19:50	-44.18577	146.40033	9.540	270.4
2024-02-06T20:00	-44.18537	146.36467	9.234	270.9
2024-02-06T20:10	-44.18512	146.32727	9.681	270.5
2024-02-06T20:20	-44.18479	146.28988	9.681	270.7
2024-02-06T20:30	-44.18455	146.25242	9.700	270.5
2024-02-06T20:40	-44.18429	146.21355	10.065	270.5
2024-02-06T20:50	-44.18393	146.17482	10.027	270.7
2024-02-06T21:00	-44.18362	146.13616	10.012	270.6
2024-02-06T21:10	-44.18332	146.09778	9.938	270.6
2024-02-06T21:20	-44.18312	146.06170	9.341	270.4
2024-02-06T21:30	-44.18270	146.02720	8.933	271.0
2024-02-06T21:40	-44.18250	145.98881	9.939	270.4
2024-02-06T21:50	-44.18218	145.95248	9.408	270.7
2024-02-06T22:00	-44.18188	145.91508	9.684	270.6
2024-02-06T22:10	-44.18153	145.87698	9.864	270.7
2024-02-06T22:20	-44.18121	145.83984	9.618	270.7
2024-02-06T22:30	-44.18099	145.80082	10.103	270.4
2024-02-06T22:40	-44.18064	145.76232	9.969	270.7
2024-02-06T22:50	-44.18041	145.72406	9.906	270.5
2024-02-06T23:00	-44.18003	145.68594	9.870	270.8
2024-02-06T23:10	-44.17981	145.64840	9.721	270.5
2024-02-06T23:20	-44.17947	145.61056	9.798	270.7
2024-02-06T23:30	-44.17913	145.57317	9.682	270.7
2024-02-06T23:40	-44.17884	145.53622	9.567	270.6
2024-02-06T23:50	-44.17863	145.50031	9.299	270.5
2024-02-07T00:00	-44.17837	145.46535	9.053	270.6
2024-02-07T00:10	-44.17798	145.43080	8.947	270.9
2024-02-07T00:20	-44.17774	145.39504	9.259	270.5
2024-02-07T00:30	-44.17737	145.35699	9.856	270.8
2024-02-07T00:40	-44.17713	145.31920	9.785	270.5
2024-02-07T00:50	-44.17682	145.28364	9.209	270.7
2024-02-07T01:00	-44.17644	145.24872	9.041	270.9
2024-02-07T01:10	-44.17629	145.21281	9.299	270.3
2024-02-07T01:20	-44.17601	145.17919	8.707	270.6
2024-02-07T01:30	-44.17577	145.14457	8.965	270.5
2024-02-07T01:40	-44.17542	145.11057	8.806	270.8
2024-02-07T01:50	-44.17521	145.07450	9.340	270.5
2024-02-07T02:00	-44.17485	145.03971	9.010	270.8
2024-02-07T02:10	-44.17462	145.00517	8.944	270.5
2024-02-07T02:20	-44.17434	144.97007	9.090	270.6
2024-02-07T02:30	-44.17404	144.93567	8.907	270.7
2024-02-07T02:40	-44.17375	144.90134	8.891	270.7
2024-02-07T02:50	-44.17344	144.86598	9.156	270.7
2024-02-07T03:00	-44.17314	144.83052	9.184	270.7
2024-02-07T03:10	-44.17292	144.79398	9.460	270.5
2024-02-07T03:20	-44.17247	144.75760	9.423	271.0
2024-02-07T03:30	-44.17230	144.72137	9.382	270.4
2024-02-07T03:40	-44.17200	144.68374	9.744	270.6
2024-02-07T03:50	-44.17173	144.64679	9.569	270.6
2024-02-07T04:00	-44.17141	144.61038	9.431	270.7
2024-02-07T04:10	-44.17108	144.57429	9.346	270.7
2024-02-07T04:20	-44.17075	144.53608	9.897	270.7
2024-02-07T04:30	-44.17048	144.49903	9.593	270.6
2024-02-07T04:40	-44.17029	144.46318	9.286	270.4
2024-02-07T04:50	-44.16995	144.42636	9.535	270.7
2024-02-07T05:00	-44.16952	144.38790	9.960	270.9
2024-02-07T05:10	-44.16937	144.35058	9.667	270.3
2024-02-07T05:20	-44.16898	144.31298	9.737	270.8
2024-02-07T05:30	-44.16872	144.27437	9.998	270.5
2024-02-07T05:40	-44.16842	144.23684	9.721	270.6
2024-02-07T05:50	-44.16816	144.20094	9.298	270.6
2024-02-07T06:00	-44.16786	144.16496	9.317	270.6
2024-02-07T06:10	-44.16759	144.12664	9.924	270.6
2024-02-07T06:20	-44.16721	144.08968	9.574	270.8
2024-02-07T06:30	-44.16697	144.05319	9.449	270.5
2024-02-07T06:40	-44.16672	144.01537	9.797	270.5
2024-02-07T06:50	-44.16634	143.97635	10.105	270.8
2024-02-07T07:00	-44.16602	143.93816	9.892	270.6
2024-02-07T07:10	-44.16566	143.90196	9.375	270.8
2024-02-07T07:20	-44.16536	143.86522	9.515	270.6
2024-02-07T07:30	-44.16522	143.82847	9.518	270.3
2024-02-07T07:40	-44.16488	143.79173	9.515	270.7
2024-02-07T07:50	-44.16452	143.75513	9.482	270.8
2024-02-07T08:00	-44.16421	143.71813	9.581	270.6
2024-02-07T08:10	-44.16402	143.68134	9.530	270.4
2024-02-07T08:20	-44.16370	143.64465	9.502	270.7
2024-02-07T08:30	-44.16331	143.60855	9.352	270.9
2024-02-07T08:40	-44.16320	143.57323	9.148	270.2
2024-02-07T08:50	-44.16277	143.53790	9.152	271.0
2024-02-07T09:00	-44.16248	143.50297	9.047	270.6
2024-02-07T09:10	-44.16225	143.46696	9.327	270.5
2024-02-07T09:20	-44.16185	143.43123	9.255	270.9
2024-02-07T09:30	-44.16166	143.39514	9.347	270.4
2024-02-07T09:40	-44.16136	143.35837	9.524	270.6
2024-02-07T09:50	-44.16111	143.32331	9.081	270.6
2024-02-07T10:00	-44.16068	143.28733	9.320	270.9
2024-02-07T10:10	-44.16052	143.25059	9.516	270.3
2024-02-07T10:20	-44.16021	143.21350	9.607	270.7
