# Title: Africa Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.61
191002,0.07
191003,-0.75
191004,-0.08
191005,-0.32
191006,-0.31
191007,-0.19
191008,-0.13
191009,-0.43
191010,-0.55
191011,-0.54
191012,-0.48
191101,-0.33
191102,-0.69
191103,-0.27
191104,-0.47
191105,-0.69
191106,-0.72
191107,-0.63
191108,-0.68
191109,-0.30
191110,-0.17
191111,-0.20
191112,-0.08
191201,-0.05
191202,0.02
191203,-0.24
191204,-0.03
191205,0.23
191206,-0.32
191207,-0.33
191208,-0.36
191209,-0.53
191210,-0.53
191211,-0.45
191212,-0.69
191301,0.05
191302,-0.28
191303,-0.80
191304,-0.58
191305,-0.35
191306,-0.31
191307,0.09
191308,0.00
191309,0.26
191310,-0.12
191311,-0.42
191312,-0.29
191401,0.36
191402,-0.44
191403,-0.04
191404,-0.16
191405,0.16
191406,-0.03
191407,-0.23
191408,-0.42
191409,-0.11
191410,0.16
191411,0.46
191412,-0.43
191501,-0.22
191502,-0.42
191503,0.58
191504,-0.06
191505,0.02
191506,-0.19
191507,0.13
191508,0.07
191509,-0.24
191510,0.00
191511,0.28
191512,-0.43
191601,-0.95
191602,-0.03
191603,0.30
191604,-0.04
191605,-0.54
191606,-0.29
191607,-0.26
191608,-0.82
191609,-0.52
191610,-0.51
191611,-0.45
191612,-0.23
191701,0.03
191702,-0.39
191703,-1.21
191704,-0.77
191705,-0.53
191706,-0.60
191707,-0.38
191708,-0.45
191709,-0.79
191710,-0.80
191711,-0.74
191712,-0.56
191801,-0.91
191802,-0.97
191803,-0.67
191804,-0.77
191805,-0.80
191806,-0.63
191807,-0.25
191808,-0.75
191809,0.09
191810,-0.15
191811,0.10
191812,-0.90
191901,0.29
191902,0.14
191903,0.45
191904,0.39
191905,-0.60
191906,-0.41
191907,-0.25
191908,-0.48
191909,-0.30
191910,0.03
191911,-0.43
191912,-0.79
192001,0.15
192002,-0.37
192003,-0.85
192004,-0.04
192005,-0.35
192006,-0.49
192007,-0.34
192008,-0.46
192009,-0.40
192010,-0.11
192011,-0.30
192012,-0.57
192101,-0.71
192102,-0.37
192103,-0.49
192104,-0.32
192105,-0.54
192106,-0.26
192107,-0.25
192108,-0.41
192109,-0.25
192110,-0.15
192111,-0.41
192112,-0.24
192201,0.05
192202,-0.34
192203,0.09
192204,0.37
192205,-0.45
192206,-0.06
192207,-0.25
192208,-0.46
192209,-0.31
192210,-0.14
192211,0.06
192212,-0.52
192301,-0.37
192302,-0.59
192303,-0.32
192304,-0.61
192305,-0.40
192306,-0.14
192307,-0.59
192308,-0.53
192309,-0.33
192310,-0.40
192311,-0.01
192312,-0.41
192401,0.12
192402,0.15
192403,0.57
192404,0.20
192405,0.18
192406,0.24
192407,-0.30
192408,-0.42
192409,-0.24
192410,-0.27
192411,-0.82
192412,-0.34
192501,-1.44
192502,-0.79
192503,-0.15
192504,-0.09
192505,-0.16
192506,-0.22
192507,0.07
192508,-0.07
192509,-0.10
192510,0.15
192511,0.12
192512,0.20
192601,0.31
192602,0.28
192603,0.01
192604,0.32
192605,-0.21
192606,0.08
192607,-0.42
192608,-0.31
192609,-0.02
192610,0.01
192611,-0.02
192612,-0.26
192701,0.05
192702,-0.40
192703,-0.50
192704,-0.31
192705,-0.02
192706,-0.10
192707,0.13
192708,-0.21
192709,0.22
192710,0.33
192711,0.41
192712,0.68
192801,0.25
192802,-0.62
192803,0.37
192804,0.21
192805,0.11
192806,-0.04
192807,-0.21
192808,-0.26
192809,0.27
192810,0.08
192811,0.13
192812,-0.33
192901,-0.20
192902,0.05
192903,-0.16
192904,-0.42
192905,0.04
192906,-0.20
192907,-0.46
192908,-0.46
192909,0.11
192910,-0.35
192911,-0.08
192912,-0.68
193001,-0.74
193002,0.03
193003,-0.23
193004,-0.44
193005,-0.44
193006,-0.41
193007,0.05
193008,-0.26
193009,-0.30
193010,-0.20
193011,-0.12
193012,0.61
193101,0.45
193102,0.40
193103,0.55
193104,0.36
193105,0.44
193106,0.03
193107,0.30
193108,0.61
193109,0.18
193110,0.21
193111,0.04
193112,0.11
193201,-0.11
193202,-0.09
193203,0.22
193204,0.28
193205,-0.21
193206,-0.05
193207,-0.43
193208,-0.40
193209,-0.12
193210,0.41
193211,0.27
193212,-0.03
193301,0.22
193302,0.55
193303,0.12
193304,-0.09
193305,-0.03
193306,0.00
193307,-0.02
193308,-0.20
193309,-0.47
193310,-0.10
193311,0.24
193312,0.11
193401,-0.73
193402,-0.86
193403,-0.65
193404,0.13
193405,-0.02
193406,0.22
193407,0.46
193408,0.42
193409,0.07
193410,0.30
193411,0.14
193412,0.24
193501,0.06
193502,-0.59
193503,-0.06
193504,-0.52
193505,-0.16
193506,-0.25
193507,-0.12
193508,-0.26
193509,-0.06
193510,-0.01
193511,-0.18
193512,0.35
193601,-0.02
193602,0.67
193603,0.08
193604,0.03
193605,-0.20
193606,-0.26
193607,-0.19
193608,-0.13
193609,-0.47
193610,0.11
193611,0.32
193612,-0.15
193701,-0.26
193702,0.08
193703,0.20
193704,0.00
193705,-0.01
193706,-0.12
193707,-0.12
193708,0.06
193709,0.30
193710,0.24
193711,0.32
193712,-0.10
193801,-0.06
193802,-0.23
193803,-0.83
193804,0.31
193805,0.04
193806,-0.20
193807,-0.19
193808,-0.07
193809,-0.13
193810,-0.20
193811,-0.50
193812,0.08
193901,0.12
193902,-0.48
193903,-0.50
193904,-0.80
193905,-0.08
193906,-0.29
193907,0.14
193908,0.02
193909,0.11
193910,0.32
193911,-0.11
193912,0.67
194001,0.34
194002,0.13
194003,-0.25
194004,-0.06
194005,0.26
194006,0.07
194007,-0.01
194008,0.10
194009,0.17
194010,0.35
194011,-0.14
194012,0.12
194101,0.67
194102,0.56
194103,0.65
194104,0.50
194105,0.32
194106,0.18
194107,0.42
194108,0.56
194109,0.05
194110,0.33
194111,0.40
194112,0.08
194201,0.16
194202,0.65
194203,0.27
194204,0.56
194205,0.04
194206,0.43
194207,0.02
194208,-0.18
194209,-0.04
194210,-0.11
194211,0.36
194212,0.14
194301,-0.02
194302,-0.55
194303,-0.46
194304,-0.56
194305,-0.44
194306,-0.52
194307,-0.19
194308,-0.40
194309,-0.32
194310,0.36
194311,-0.01
194312,0.37
194401,-0.44
194402,-0.32
194403,-0.36
194404,-0.05
194405,-0.43
194406,0.19
194407,0.13
194408,0.17
194409,-0.21
194410,0.25
194411,0.22
194412,0.43
194501,0.21
194502,-0.50
194503,-0.58
194504,0.25
194505,-0.30
194506,-0.28
194507,0.04
194508,0.09
194509,-0.03
194510,-0.21
194511,0.25
194512,-0.02
194601,0.37
194602,-0.15
194603,-0.03
194604,-0.12
194605,0.01
194606,-0.19
194607,-0.17
194608,-0.47
194609,-0.06
194610,-0.10
194611,0.34
194612,-0.08
194701,0.03
194702,0.83
194703,0.32
194704,-0.03
194705,-0.19
194706,0.01
194707,-0.11
194708,0.06
194709,-0.12
194710,0.01
194711,0.15
194712,0.07
194801,-0.23
194802,0.09
194803,-0.81
194804,-0.24
194805,0.14
194806,-0.28
194807,-0.09
194808,-0.16
194809,-0.33
194810,-0.30
194811,-0.49
194812,-0.24
194901,0.05
194902,-0.76
194903,-0.14
194904,-0.33
194905,0.11
194906,0.17
194907,0.07
194908,-0.02
194909,-0.18
194910,-0.04
194911,0.36
194912,0.19
195001,-0.17
195002,-0.39
195003,-0.36
195004,-0.24
195005,-0.43
195006,0.01
195007,-0.23
195008,-0.51
195009,-0.22
195010,-0.52
195011,-0.31
195012,0.05
195101,-0.37
195102,-0.26
195103,0.38
195104,-0.22
195105,-0.07
195106,-0.20
195107,-0.15
195108,0.08
195109,-0.03
195110,0.03
195111,-0.28
195112,-0.59
195201,0.10
195202,-0.25
195203,0.22
195204,-0.16
195205,0.00
195206,0.17
195207,0.05
195208,-0.08
195209,-0.06
195210,0.21
195211,-0.29
195212,0.10
195301,0.20
195302,0.20
195303,-0.46
195304,-0.06
195305,0.17
195306,-0.41
195307,-0.34
195308,-0.34
195309,-0.50
195310,-0.06
195311,-0.19
195312,-0.29
195401,-0.39
195402,0.10
195403,-0.05
195404,-0.60
195405,-0.07
195406,-0.52
195407,-0.72
195408,-0.62
195409,-0.48
195410,-0.29
195411,0.04
195412,-0.11
195501,0.42
195502,0.31
195503,-0.07
195504,-0.48
195505,-0.04
195506,-0.21
195507,-0.11
195508,-0.31
195509,-0.30
195510,-0.14
195511,0.16
195512,-0.39
195601,-0.24
195602,0.17
195603,-0.18
195604,-0.58
195605,-0.43
195606,-0.34
195607,-0.45
195608,-0.33
195609,-0.52
195610,-0.61
195611,-0.16
195612,-0.66
195701,-0.62
195702,-0.49
195703,-0.43
195704,-0.56
