# Title: Antarctic Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
185001,-0.06
185002,-0.31
185003,-0.11
185004,-0.18
185005,-0.03
185006,0.07
185007,0.19
185008,0.27
185009,0.08
185010,0.05
185011,0.13
185012,-0.17
185101,-0.20
185102,-0.15
185103,-0.16
185104,-0.23
185105,-0.24
185106,-0.20
185107,0.10
185108,0.28
185109,0.43
185110,0.20
185111,-0.06
185112,-0.23
185201,-0.30
185202,-0.19
185203,-0.12
185204,-0.17
185205,-0.16
185206,0.23
185207,-0.11
185208,0.29
185209,0.22
185210,0.08
185211,0.00
185212,-0.18
185301,-0.28
185302,-0.15
185303,-0.10
185304,-0.36
185305,-0.03
185306,0.13
185307,0.18
185308,0.17
185309,0.08
185310,0.13
185311,-0.03
185312,-0.10
185401,-0.12
185402,-0.23
185403,-0.11
185404,-0.26
185405,0.03
185406,0.05
185407,0.07
185408,0.21
185409,0.11
185410,0.05
185411,-0.13
185412,-0.11
185501,-0.04
185502,-0.04
185503,0.03
185504,-0.16
185505,0.01
185506,0.39
185507,0.18
185508,0.12
185509,0.17
185510,0.11
185511,-0.10
185512,0.08
185601,-0.29
185602,-0.12
185603,-0.01
185604,-0.15
185605,-0.03
185606,0.22
185607,0.22
185608,0.00
185609,0.09
185610,0.01
185611,-0.10
185612,-0.08
185701,-0.33
185702,-0.22
185703,-0.10
185704,-0.17
185705,-0.17
185706,-0.05
185707,0.01
185708,0.29
185709,-0.05
185710,0.06
185711,-0.10
185712,-0.06
185801,-0.09
185802,-0.01
185803,0.04
185804,-0.07
185805,-0.09
185806,0.05
185807,0.35
185808,0.27
185809,0.19
185810,0.12
185811,-0.16
185812,-0.04
185901,-0.30
185902,-0.22
185903,-0.13
185904,0.06
185905,0.01
185906,-0.02
185907,0.01
185908,0.22
185909,0.10
185910,0.15
185911,-0.10
185912,-0.06
186001,-0.19
186002,-0.06
186003,-0.05
186004,-0.12
186005,-0.21
186006,0.13
186007,0.34
186008,0.33
186009,-0.02
186010,0.11
186011,-0.11
186012,-0.12
186101,-0.09
186102,-0.09
186103,0.02
186104,-0.16
186105,-0.20
186106,0.07
186107,0.30
186108,0.09
186109,-0.03
186110,0.16
186111,-0.08
186112,-0.15
186201,-0.07
186202,-0.07
186203,-0.10
186204,-0.18
186205,-0.18
186206,0.16
186207,0.11
186208,0.11
186209,0.19
186210,0.13
186211,0.05
186212,0.10
186301,-0.10
186302,-0.13
186303,0.05
186304,-0.07
186305,-0.21
186306,0.06
186307,-0.03
186308,0.08
186309,0.08
186310,0.10
186311,-0.13
186312,-0.19
186401,-0.17
186402,-0.09
186403,-0.12
186404,-0.15
186405,-0.45
186406,-0.07
186407,-0.02
186408,0.12
186409,0.15
186410,0.01
186411,-0.14
186412,-0.13
186501,-0.30
186502,-0.08
186503,-0.08
186504,-0.07
186505,-0.08
186506,-0.20
186507,0.24
186508,0.20
186509,0.27
186510,-0.05
186511,-0.11
186512,-0.08
186601,-0.39
186602,-0.18
186603,0.03
186604,-0.06
186605,-0.09
186606,0.16
186607,0.13
186608,0.23
186609,0.25
186610,0.13
186611,-0.13
186612,-0.28
186701,-0.28
186702,-0.20
186703,0.10
186704,-0.11
186705,-0.04
186706,0.03
186707,0.16
186708,0.13
186709,0.04
186710,0.17
186711,-0.08
186712,-0.07
186801,-0.10
186802,-0.20
186803,-0.06
186804,-0.08
186805,-0.16
186806,0.02
186807,0.09
186808,0.47
186809,0.25
186810,0.21
186811,-0.04
186812,-0.10
186901,0.01
186902,-0.08
186903,0.14
186904,-0.03
186905,0.15
186906,0.01
186907,0.08
186908,0.20
186909,0.10
186910,0.11
186911,-0.04
186912,0.15
187001,-0.07
187002,-0.13
187003,0.05
187004,-0.08
187005,-0.19
