# Title: Arctic Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
185001,-1.32
185002,0.54
185003,0.14
185004,-0.43
185005,-1.31
185006,-0.51
185007,-0.18
185008,0.32
185009,-0.80
185010,-2.04
185011,-0.77
185012,-0.44
185101,-0.74
185102,0.07
185103,-0.86
185104,-0.86
185105,-0.34
185106,-0.13
185107,0.36
185108,0.29
185109,-0.09
185110,0.05
185111,0.49
185112,0.61
185201,1.16
185202,0.56
185203,-0.55
185204,-0.27
185205,0.04
185206,0.00
185207,0.05
185208,-0.26
185209,-0.02
185210,-1.59
185211,-1.24
185212,-0.48
185301,0.15
185302,-1.01
185303,-1.74
185304,-0.88
185305,-0.24
185306,-0.27
185307,0.07
185308,-0.03
185309,-0.05
185310,0.10
185311,-0.09
185312,0.96
185401,-0.43
185402,0.84
185403,1.28
185404,0.55
185405,-0.74
185406,-0.14
185407,0.06
185408,0.37
185409,-0.02
185410,-0.13
185411,0.12
185412,-0.39
185501,0.35
185502,-0.55
185503,-0.58
185504,-0.15
185505,-0.70
185506,-0.28
185507,-0.51
185508,0.08
185509,-0.57
185510,-1.00
185511,-0.94
185512,-0.34
185601,1.77
185602,1.34
185603,1.28
185604,-0.33
185605,-1.04
185606,-0.55
185607,-0.20
185608,-0.72
185609,-0.56
185610,-1.49
185611,0.24
185612,0.62
185701,0.39
185702,-0.37
185703,1.06
185704,-0.46
185705,-0.52
185706,-0.16
185707,-0.27
185708,0.04
185709,-0.59
185710,-1.50
185711,-0.19
185712,0.28
185801,0.14
185802,1.15
185803,-0.60
185804,0.02
185805,-0.20
185806,-0.34
185807,0.33
185808,-0.23
185809,-0.76
185810,-0.64
185811,-1.10
185812,-1.23
185901,-0.42
185902,0.26
185903,1.21
185904,-0.30
185905,-0.74
185906,-0.09
185907,-0.41
185908,-0.38
185909,-0.34
185910,-0.99
185911,-0.68
185912,1.24
186001,0.03
186002,-0.73
186003,0.92
186004,-0.67
186005,-0.22
186006,-0.05
186007,-0.35
186008,-0.56
186009,-0.85
186010,-0.85
186011,0.27
186012,-1.44
186101,0.47
186102,0.39
186103,1.40
186104,0.35
186105,-0.12
186106,-0.50
186107,-0.14
186108,-0.26
186109,-0.14
186110,-0.87
186111,-0.87
186112,-0.33
186201,2.51
186202,1.46
186203,-0.30
186204,-0.17
186205,-0.93
186206,-0.83
186207,-0.56
186208,-0.60
186209,-0.81
186210,-1.05
186211,0.58
186212,-1.60
186301,-0.34
186302,-0.41
186303,0.20
186304,1.67
186305,-0.10
186306,-0.17
186307,-0.55
186308,-0.56
186309,-0.58
186310,-0.43
186311,0.53
186312,-0.16
186401,0.17
186402,2.27
186403,0.77
186404,-0.22
186405,0.26
186406,-0.04
186407,-0.36
186408,-0.44
186409,-0.89
186410,-1.11
186411,-1.53
186412,-0.55
186501,0.67
186502,-1.02
186503,-0.10
186504,-1.59
186505,-1.31
186506,-0.72
186507,-0.24
186508,-0.48
186509,-0.32
186510,-0.46
186511,0.25
186512,0.75
186601,0.04
186602,-0.25
186603,-1.49
186604,-1.40
186605,-0.91
186606,-0.68
186607,-0.63
186608,-0.63
186609,0.04
186610,-0.74
186611,-0.43
186612,-0.49
186701,-1.24
186702,-1.28
186703,-1.67
186704,-1.73
186705,-2.51
186706,-0.85
186707,-0.78
186708,-0.72
186709,-0.29
186710,-0.78
186711,-0.51
186712,-0.72
186801,-0.49
186802,-0.09
186803,0.32
186804,-0.11
186805,-0.16
186806,-0.68
186807,-0.48
186808,-0.40
186809,-0.12
186810,-1.41
186811,-1.42
186812,-0.87
186901,0.44
186902,-0.62
186903,1.04
186904,-0.46
186905,-1.04
186906,-0.56
186907,-0.42
186908,-0.60
186909,-0.45
186910,-1.07
186911,0.15
186912,-0.94
187001,-1.13
187002,-2.02
187003,-0.47
187004,-1.24
187005,-1.20
187006,-0.16
187007,-0.48
187008,-0.55
187009,-0.57
187010,-0.86
187011,-2.07
187012,-2.14
187101,-2.33
187102,-2.27
187103,-0.27
187104,-0.44
187105,-0.95
187106,-0.61
187107,-0.57
187108,-0.35
187109,-0.84
187110,-0.83
187111,-1.54
187112,-1.41
187201,0.10
187202,-0.07
187203,-1.61
187204,-1.81
187205,-0.69
187206,-1.22
187207,-0.19
187208,-0.21
187209,-0.54
187210,-1.41
187211,-1.43
187212,-2.67
187301,-1.26
187302,-0.90
187303,-1.55
187304,-2.21
187305,-1.11
187306,-0.82
187307,-0.48
187308,-0.49
187309,-0.88
187310,-0.37
187311,-0.93
187312,-1.93
187401,-1.44
187402,-0.20
187403,0.98
187404,-0.08
187405,0.57
187406,-0.44
187407,-0.57
187408,-0.45
187409,-0.01
187410,-0.18
187411,-0.66
187412,-0.53
187501,1.14
187502,0.24
187503,-0.90
187504,-0.67
187505,-0.98
187506,-0.94
187507,-0.22
187508,-0.87
187509,-0.72
187510,-0.67
187511,-0.81
187512,-3.06
187601,-0.24
187602,-2.40
187603,-0.70
187604,-1.52
187605,-2.17
187606,-0.42
187607,-0.53
187608,-0.85
187609,-0.76
187610,-1.42
187611,-0.36
187612,-1.36
187701,-0.95
187702,-1.31
187703,0.77
187704,-0.66
187705,0.32
187706,-0.26
187707,-0.19
187708,-0.51
187709,-0.96
187710,0.00
187711,0.94
187712,-0.32
187801,-0.38
187802,-0.36
187803,0.82
187804,-0.21
187805,-0.85
187806,-0.02
187807,0.08
187808,-0.53
187809,-0.26
187810,-0.79
187811,-0.80
187812,1.23
187901,0.13
187902,-2.57
187903,0.62
187904,-1.50
187905,-0.59
187906,-0.69
187907,-0.01
187908,-0.48
187909,-0.70
187910,-0.97
187911,-1.14
187912,-1.77
