# Title: Asia Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.11
191002,0.42
191003,-1.39
191004,-0.54
191005,-0.21
191006,-0.64
191007,0.04
191008,0.02
191009,-0.52
191010,-0.68
191011,-1.12
191012,-1.89
191101,-1.25
191102,-0.62
191103,-1.72
191104,0.13
191105,-0.84
191106,-0.33
191107,-0.19
191108,-0.31
191109,-0.70
191110,-0.60
191111,0.47
191112,-1.06
191201,0.02
191202,-0.42
191203,-1.85
191204,-0.18
191205,-0.27
191206,0.35
191207,-0.85
191208,-1.17
191209,-1.21
191210,-2.47
191211,-0.95
191212,-1.15
191301,-0.46
191302,-1.31
191303,-0.49
191304,-1.03
191305,-0.62
191306,-0.75
191307,-0.63
191308,-0.29
191309,-0.25
191310,-0.51
191311,-0.20
191312,1.02
191401,1.27
191402,1.69
191403,-0.58
191404,-0.64
191405,-0.33
191406,0.02
191407,-0.36
191408,-0.05
191409,-0.05
191410,-0.37
191411,-0.53
191412,0.45
191501,-1.16
191502,-0.60
191503,-0.16
191504,-0.28
191505,0.65
191506,0.19
191507,0.02
191508,-0.39
191509,-0.37
191510,-1.25
191511,0.16
191512,-0.61
191601,0.48
191602,-0.54
191603,-1.06
191604,-0.44
191605,-0.55
191606,-0.56
191607,-0.32
191608,-0.12
191609,-0.42
191610,-0.14
191611,-1.11
191612,-2.43
191701,-0.55
191702,-0.39
191703,-1.17
191704,-0.23
191705,-0.21
191706,-0.22
191707,-0.09
191708,-0.29
191709,-0.01
191710,-0.57
191711,-0.26
191712,-0.89
191801,-0.03
191802,-0.32
191803,-0.13
191804,-0.85
191805,-0.99
191806,-0.45
191807,-0.37
191808,-0.31
191809,-0.02
191810,-0.03
191811,-0.61
191812,-2.43
191901,-2.36
191902,-1.12
191903,-1.07
191904,0.22
191905,-0.55
191906,-0.52
191907,-0.10
191908,0.19
191909,-0.11
191910,0.58
191911,-0.30
191912,-0.62
192001,1.16
192002,-1.28
192003,0.96
192004,0.38
192005,0.21
192006,-0.07
192007,-0.10
192008,0.04
192009,-0.45
192010,-0.82
192011,-0.58
192012,-2.10
192101,0.86
192102,0.20
192103,-0.10
192104,-0.03
192105,-0.43
192106,0.20
192107,0.16
192108,-0.17
192109,-0.20
192110,-0.31
192111,0.09
192112,-0.61
192201,-1.01
192202,-1.15
192203,0.31
192204,-0.03
192205,-0.07
192206,0.06
192207,0.10
192208,-0.12
192209,-0.61
192210,-0.49
192211,-0.19
192212,0.96
192301,-0.35
192302,-0.62
192303,0.13
192304,-1.19
192305,-0.84
192306,0.07
192307,-0.35
192308,0.17
192309,-0.12
192310,0.21
192311,-0.16
192312,0.26
192401,-0.33
192402,-0.78
192403,-0.24
192404,-0.29
192405,-0.30
192406,-0.29
192407,0.04
192408,0.07
192409,0.18
192410,-0.38
192411,1.04
192412,0.77
192501,0.97
192502,-0.93
192503,-0.12
192504,-0.51
192505,-0.60
192506,-0.60
192507,-0.54
192508,-0.20
192509,0.15
192510,0.66
192511,0.61
192512,0.79
192601,1.11
192602,-0.07
192603,1.52
192604,-0.73
192605,-0.97
192606,-0.44
192607,-0.58
192608,0.17
192609,-0.04
192610,0.07
192611,0.26
192612,-0.50
192701,-1.82
192702,-0.58
192703,-1.92
192704,-0.36
192705,0.06
192706,-0.06
192707,-0.04
192708,-0.10
192709,0.48
192710,0.59
192711,0.12
192712,-0.53
192801,-0.50
192802,0.10
192803,-1.16
192804,-0.38
192805,-0.19
192806,-0.34
192807,-0.21
192808,-0.04
192809,-0.17
192810,-0.15
192811,-0.18
192812,-0.26
192901,-1.99
192902,-2.13
192903,0.09
192904,-0.20
192905,-0.41
192906,-0.53
192907,-0.39
192908,-0.24
192909,-0.37
192910,-0.05
192911,0.08
192912,-2.66
193001,-0.49
193002,-1.01
193003,0.91
193004,-0.89
193005,-0.25
193006,-0.37
193007,-0.04
193008,0.17
193009,-0.53
193010,-0.19
193011,0.75
193012,-1.14
193101,-1.69
193102,-3.01
193103,-0.02
193104,-1.07
193105,-0.71
193106,0.12
193107,0.15
193108,0.40
193109,0.52
193110,0.90
193111,0.14
193112,0.02
193201,2.03
193202,-0.23
193203,-0.20
193204,0.56
193205,-0.41
193206,-0.11
193207,0.20
193208,-0.05
193209,0.64
193210,0.67
193211,-0.26
193212,-0.37
193301,-1.63
193302,-1.57
193303,-1.42
193304,-0.46
193305,-0.70
193306,-0.70
193307,-0.05
193308,-0.05
193309,-0.52
193310,-0.17
193311,-0.08
193312,-0.34
193401,-0.65
193402,2.01
193403,-0.92
193404,-1.56
193405,0.13
193406,-0.28
193407,-0.30
193408,-0.17
193409,-0.79
193410,-0.13
193411,0.21
193412,0.45
193501,-0.83
193502,2.22
193503,0.27
193504,-1.21
193505,-0.20
193506,-0.21
193507,-0.18
193508,0.33
193509,0.09
193510,0.39
193511,-1.39
193512,-1.26
193601,-1.53
193602,-0.63
193603,-1.55
193604,-0.42
193605,-0.25
193606,-0.22
193607,0.11
193608,-0.17
193609,0.25
193610,0.74
193611,0.33
193612,1.08
193701,-0.07
193702,0.72
193703,-1.76
193704,-0.95
193705,-0.07
193706,0.03
193707,-0.01
193708,-0.07
193709,0.44
193710,0.58
193711,-0.26
193712,-0.72
193801,0.18
193802,0.50
193803,0.46
193804,1.54
193805,0.28
193806,-0.40
193807,0.14
193808,0.31
193809,0.23
193810,-0.04
193811,0.95
193812,-1.59
193901,-0.78
193902,1.37
193903,-0.09
193904,-0.43
193905,0.04
193906,0.42
193907,0.02
193908,0.17
193909,-0.03
193910,-0.16
193911,0.41
193912,1.83
194001,-1.40
194002,0.17
194003,0.04
194004,0.59
194005,-0.45
194006,0.14
194007,0.22
194008,-0.02
194009,-0.03
194010,-0.44
194011,0.51
194012,0.42
194101,-0.33
194102,-0.42
194103,-0.37
194104,-0.55
194105,-0.02
194106,0.32
194107,-0.04
194108,0.14
194109,-0.03
194110,0.63
194111,-0.58
194112,-0.75
194201,0.32
194202,-1.30
194203,-0.72
194204,-0.72
194205,-0.27
194206,0.37
194207,0.09
194208,-0.31
194209,0.10
194210,0.11
194211,0.69
194212,0.96
194301,-0.62
194302,0.51
194303,0.56
194304,0.81
194305,1.05
194306,-0.37
194307,-0.05
194308,0.12
194309,0.24
194310,0.45
194311,-0.18
194312,0.76
194401,1.23
194402,0.98
194403,1.71
194404,0.01
194405,0.34
194406,0.04
194407,0.16
194408,-0.09
194409,0.60
194410,0.21
194411,-0.71
194412,-1.39
194501,-1.06
194502,-2.08
194503,-1.23
194504,0.79
194505,0.23
194506,0.24
194507,-0.27
194508,0.50
194509,0.42
194510,0.60
194511,0.28
194512,-1.04
194601,0.47
194602,1.11
194603,-1.21
194604,0.77
194605,-0.25
194606,-0.22
194607,0.04
194608,0.10
194609,-0.39
194610,0.05
194611,0.08
194612,-1.60
194701,-1.07
194702,-0.85
194703,0.55
194704,1.06
194705,0.12
194706,-0.18
194707,-0.33
194708,-0.19
194709,0.19
194710,0.72
194711,0.33
194712,-0.87
194801,1.34
194802,0.43
194803,0.44
194804,0.61
194805,0.38
194806,0.30
194807,0.11
194808,0.18
194809,0.10
194810,0.44
194811,0.54
194812,-0.05
194901,1.60
194902,0.54
194903,-0.53
194904,0.21
194905,0.35
194906,-0.35
194907,-0.44
194908,0.00
194909,-0.28
194910,0.38
194911,-1.21
194912,-1.18
195001,-0.71
195002,-0.74
195003,0.15
195004,-0.31
195005,0.16
195006,-0.25
195007,-0.47
195008,-0.39
195009,-0.19
195010,-0.06
195011,-1.60
195012,-0.81
195101,-1.23
195102,-2.48
195103,-0.49
195104,0.01
195105,0.36
195106,-0.17
195107,-0.02
195108,0.21
195109,0.65
195110,0.97
195111,0.26
195112,2.70
195201,0.55
195202,-0.07
195203,-0.92
195204,-0.41
195205,-0.19
195206,-0.05
195207,0.32
195208,0.08
195209,0.52
195210,-0.80
195211,-2.27
195212,-1.50
195301,0.01
195302,0.27
195303,0.94
195304,0.59
195305,0.50
195306,0.50
195307,0.48
195308,0.26
195309,0.23
195310,0.10
195311,-1.25
195312,0.71
195401,-0.77
195402,-1.21
195403,-0.84
195404,0.12
195405,-0.67
195406,0.11
195407,0.19
195408,0.36
195409,0.21
195410,0.33
195411,0.25
195412,-1.17
195501,1.01
195502,-0.20
195503,-1.29
195504,-1.04
195505,0.01
195506,0.21
195507,-0.26
195508,0.22
195509,-0.03
195510,0.20
195511,0.24
195512,-0.45
195601,-0.85
195602,-0.88
195603,-0.47
195604,-0.67
195605,-0.43
195606,-0.15
195607,-0.15
195608,-0.38
195609,-0.45
195610,-0.47
195611,-0.44
195612,-0.36
195701,-0.07
195702,-1.31
195703,-1.37
195704,-0.75
195705,-0.05
195706,0.08
195707,-0.38
195708,-0.09
195709,-0.03
195710,-0.44
195711,-0.26
195712,0.89
195801,0.48
195802,0.61
195803,-0.56
195804,-0.53
195805,-0.62
195806,-0.28
195807,-0.12
195808,-0.23
195809,-0.61
195810,-0.34
195811,-0.18
195812,0.14
195901,0.45
195902,0.38
195903,1.35
195904,0.26
195905,-0.25
195906,0.23
195907,-0.24
195908,0.29
195909,0.45
195910,-0.10
195911,-0.59
195912,-1.04
196001,-0.32
196002,1.11
196003,-1.19
196004,-0.59
196005,-0.87
196006,0.30
196007,-0.12
196008,-0.22
196009,0.09
196010,-0.83
196011,-1.00
196012,0.87
196101,0.25
196102,0.85
196103,1.11
196104,0.23
196105,0.15
196106,-0.09
196107,0.12
196108,-0.10
196109,0.11
196110,-0.72
196111,0.24
196112,0.23
196201,1.24
196202,1.80
196203,0.93
196204,0.53
196205,0.45
196206,-0.38
196207,0.36
196208,-0.17
196209,-0.09
196210,-0.31
196211,-0.66
196212,0.46
196301,0.84
196302,1.96
196303,0.19
196304,-0.84
196305,-0.27
196306,-0.37
196307,0.05
196308,0.06
196309,0.08
196310,0.57
196311,1.06
196312,0.24
196401,-0.18
196402,-1.09
196403,-0.47
196404,-0.97
196405,-0.30
196406,-0.19
196407,-0.10
196408,-0.06
196409,-0.18
196410,-0.75
196411,-0.11
196412,0.20
196501,0.33
196502,-0.64
196503,0.38
196504,-0.81
196505,-0.15
196506,-0.10
196507,-0.03
196508,-0.32
196509,0.01
196510,0.29
196511,-0.70
196512,-0.35
196601,0.08
196602,-0.51
196603,-0.10
196604,-0.87
196605,0.03
196606,0.08
196607,-0.06
196608,0.41
196609,0.24
196610,-0.44
196611,-0.30
196612,-1.18
196701,-0.70
196702,-0.63
196703,0.88
196704,0.48
196705,0.86
196706,-0.07
196707,0.21
196708,-0.09
196709,-0.47
196710,1.16
196711,0.21
196712,0.26
196801,-0.34
196802,-0.24
196803,2.09
196804,0.09
196805,0.18
196806,-0.34
196807,-0.25
196808,-0.32
196809,-0.59
196810,-0.66
196811,-1.14
196812,-1.05
196901,-2.86
196902,-3.80
196903,-0.64
196904,-0.47
196905,-0.61
196906,-0.31
196907,0.11
196908,-0.40
196909,-0.46
196910,-0.21
196911,0.60
196912,0.34
197001,-0.16
197002,0.50
197003,-0.62
197004,0.23
197005,-0.02
197006,-0.36
197007,0.19
197008,-0.29
197009,0.18
197010,-0.53
197011,0.01
197012,-0.17
197101,0.80
197102,-1.22
197103,-0.42
197104,-0.24
197105,0.00
197106,-0.24
197107,-0.01
197108,-0.10
197109,0.32
197110,0.03
197111,1.82
197112,1.03
197201,-1.72
197202,-1.29
197203,0.06
197204,0.55
197205,-0.31
197206,0.04
197207,-0.27
197208,-0.26
197209,-0.71
197210,0.05
197211,-0.56
197212,0.47
197301,-0.35
197302,1.59
197303,0.78
197304,0.88
197305,0.19
197306,0.35
197307,-0.04
197308,0.09
197309,-0.17
197310,-0.40
197311,0.78
197312,0.90
197401,-1.10
197402,-1.63
197403,0.43
197404,0.54
197405,0.08
197406,-0.26
197407,0.27
197408,0.01
197409,0.27
197410,-0.37
197411,-0.71
197412,-0.83
197501,1.41
197502,0.44
197503,1.56
197504,1.07
197505,0.27
197506,0.36
197507,0.06
197508,-0.03
197509,0.68
197510,0.03
197511,-0.03
197512,0.54
197601,1.26
197602,-0.54
197603,-1.07
197604,0.18
197605,-0.15
197606,-0.29
197607,-0.58
197608,-0.30
197609,-0.07
197610,-1.71
197611,-1.05
197612,-0.70
197701,-2.08
197702,-1.21
197703,0.77
197704,0.98
197705,0.59
197706,0.71
197707,0.03
197708,-0.22
197709,0.09
197710,-0.88
197711,1.36
197712,0.44
197801,0.31
197802,-0.32
197803,0.75
197804,0.51
197805,-0.20
197806,-0.12
197807,-0.23
197808,-0.49
197809,0.08
197810,0.29
197811,1.59
197812,-0.13
197901,-0.65
197902,0.53
197903,-0.12
197904,-0.89
197905,0.24
197906,0.10
197907,-0.05
197908,-0.32
197909,0.06
197910,0.03
197911,-0.06
197912,1.70
198001,-0.34
198002,0.09
198003,-0.88
198004,-0.17
198005,0.23
198006,0.15
198007,0.14
198008,-0.07
198009,0.09
198010,0.23
198011,0.84
198012,1.51
198101,1.93
198102,1.19
198103,0.91
198104,0.92
198105,0.17
198106,0.52
198107,0.27
198108,0.38
198109,0.00
198110,-0.14
198111,0.07
198112,1.42
198201,0.19
198202,0.71
198203,-0.65
198204,1.22
198205,0.23
198206,-0.13
198207,0.04
198208,-0.11
198209,0.01
198210,-0.36
198211,-0.12
198212,1.21
198301,1.83
198302,0.82
198303,0.84
198304,-0.22
198305,0.08
198306,-0.05
198307,0.18
198308,0.35
198309,0.52
198310,0.36
198311,1.71
198312,1.64
198401,1.09
198402,-1.10
198403,0.63
198404,-0.69
198405,0.87
198406,0.19
198407,0.10
198408,-0.21
198409,-0.16
