# Title: Atlantic MDR Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.60
191002,-0.62
191003,-0.77
191004,-0.79
191005,-0.79
191006,-0.76
191007,-0.83
191008,-0.75
191009,-0.56
191010,-0.55
191011,-0.37
191012,-0.50
191101,-0.57
191102,-0.72
191103,-0.78
191104,-0.57
191105,-0.52
191106,-0.61
191107,-0.64
191108,-0.64
191109,-0.63
191110,-0.48
191111,-0.46
191112,-0.53
191201,-0.48
191202,-0.35
191203,-0.51
191204,-0.54
191205,-0.50
191206,-0.62
191207,-0.54
191208,-0.64
191209,-0.48
191210,-0.52
191211,-0.43
191212,-0.54
191301,-0.64
191302,-0.70
191303,-0.83
191304,-0.99
191305,-0.89
191306,-0.93
191307,-0.82
191308,-0.85
191309,-0.86
191310,-0.74
191311,-0.63
191312,-0.50
191401,-0.29
191402,-0.40
191403,-0.54
191404,-0.54
191405,-0.46
191406,-0.66
191407,-0.67
191408,-0.64
191409,-0.40
191410,-0.23
191411,-0.20
191412,-0.21
191501,-0.14
191502,0.01
191503,0.37
191504,0.25
191505,0.26
191506,0.36
191507,0.46
191508,0.43
191509,0.23
191510,0.06
191511,0.07
191512,0.12
191601,-0.08
191602,-0.19
191603,-0.16
191604,-0.30
191605,-0.14
191606,-0.09
191607,-0.27
191608,-0.34
191609,-0.41
191610,-0.43
191611,-0.71
191612,-0.75
191701,-0.79
191702,-0.61
191703,-0.76
191704,-0.75
191705,-0.43
191706,-0.26
191707,-0.41
191708,-0.59
191709,-0.81
191710,-0.84
191711,-0.66
191712,-0.41
191801,-0.13
191802,-0.44
191803,-0.65
191804,-0.60
191805,-0.42
191806,-0.30
191807,-0.30
191808,-0.36
191809,-0.35
191810,-0.20
191811,-0.19
191812,-0.22
191901,-0.30
191902,0.08
191903,0.07
191904,0.03
191905,-0.21
191906,-0.28
191907,-0.42
191908,-0.41
191909,-0.25
191910,-0.17
191911,-0.34
191912,-0.56
192001,-0.73
192002,-0.83
192003,-0.64
192004,-0.68
192005,-0.56
192006,-0.58
192007,-0.75
192008,-0.75
192009,-0.52
192010,-0.43
192011,-0.49
192012,-0.39
192101,-0.49
192102,-0.32
192103,-0.56
192104,-0.46
192105,-0.59
192106,-0.71
192107,-0.60
192108,-0.57
192109,-0.60
192110,-0.44
192111,-0.49
192112,-0.26
192201,-0.26
192202,-0.38
192203,-0.54
192204,-0.65
192205,-0.71
192206,-0.79
192207,-0.76
192208,-0.67
192209,-0.77
192210,-0.55
192211,-0.50
192212,-0.56
192301,-0.74
192302,-0.83
192303,-0.85
192304,-1.00
192305,-0.75
192306,-0.77
192307,-0.63
192308,-0.80
192309,-0.72
192310,-0.62
192311,-0.35
192312,-0.27
192401,-0.26
192402,-0.34
192403,-0.15
192404,-0.11
192405,-0.17
192406,-0.32
192407,-0.33
192408,-0.50
192409,-0.45
192410,-0.63
192411,-0.52
192412,-0.59
192501,-0.82
192502,-0.88
192503,-0.78
192504,-0.69
192505,-0.47
192506,-0.60
192507,-0.43
192508,-0.42
192509,-0.54
192510,-0.31
192511,-0.31
192512,0.00
192601,0.12
192602,0.15
192603,-0.10
192604,0.02
192605,0.09
192606,0.02
192607,0.17
192608,0.13
192609,0.11
192610,0.09
192611,0.01
192612,0.04
192701,0.02
192702,-0.03
192703,-0.14
192704,-0.08
192705,-0.03
192706,-0.03
192707,0.04
192708,0.05
192709,0.24
192710,0.19
192711,0.32
192712,0.08
192801,-0.06
192802,-0.28
192803,-0.29
192804,-0.52
192805,-0.46
192806,-0.26
192807,-0.22
192808,-0.23
192809,-0.22
192810,-0.24
192811,-0.32
192812,-0.44
192901,-0.49
192902,-0.48
192903,-0.52
192904,-0.45
192905,-0.62
192906,-0.51
192907,-0.32
192908,-0.40
192909,-0.40
192910,-0.30
192911,-0.55
192912,-0.69
193001,-0.63
193002,-0.56
193003,-0.32
193004,-0.51
193005,-0.45
193006,-0.50
193007,-0.57
193008,-0.29
193009,-0.16
193010,0.04
193011,0.20
193012,0.12
193101,0.15
193102,0.05
193103,0.34
193104,0.44
193105,0.45
193106,0.48
193107,0.30
193108,0.11
193109,-0.04
193110,0.07
193111,-0.10
193112,-0.05
193201,0.06
193202,0.16
193203,0.48
193204,0.40
193205,0.37
193206,0.33
193207,0.20
193208,0.27
193209,0.43
193210,0.34
193211,0.11
193212,-0.03
193301,-0.16
193302,0.05
193303,-0.03
193304,0.12
193305,0.30
193306,0.23
193307,0.15
193308,-0.02
193309,-0.05
193310,0.00
193311,-0.11
193312,-0.36
193401,-0.50
193402,-0.58
193403,-0.67
193404,-0.56
193405,-0.53
193406,-0.44
193407,-0.42
193408,-0.21
193409,-0.24
193410,-0.14
193411,-0.35
193412,-0.37
193501,-0.09
193502,-0.20
193503,-0.39
193504,-0.35
193505,-0.18
193506,-0.21
193507,-0.13
193508,-0.23
193509,-0.33
193510,-0.34
193511,-0.36
193512,-0.39
193601,-0.20
193602,-0.05
193603,0.25
193604,0.25
193605,0.37
193606,0.48
193607,0.29
193608,0.15
193609,-0.01
193610,0.02
193611,-0.17
193612,-0.21
193701,-0.19
193702,-0.14
193703,0.16
193704,0.06
193705,0.09
193706,0.22
193707,0.31
193708,0.29
193709,0.41
193710,0.34
193711,0.54
193712,0.58
193801,0.18
193802,0.04
193803,-0.06
193804,-0.10
193805,-0.08
193806,-0.16
193807,-0.07
193808,-0.19
193809,-0.10
193810,-0.06
193811,-0.10
193812,-0.27
193901,-0.35
193902,-0.45
193903,-0.61
193904,-0.61
193905,-0.44
193906,-0.30
193907,-0.27
193908,-0.03
193909,0.15
193910,0.14
193911,0.07
193912,0.30
194001,0.75
194002,0.52
194003,0.51
194004,0.63
194005,0.71
194006,0.61
194007,0.45
194008,0.57
194009,0.44
194010,0.54
194011,0.60
194012,0.46
194101,0.73
194102,0.75
194103,0.47
194104,0.63
194105,0.64
194106,0.30
194107,0.34
194108,0.42
194109,0.39
194110,0.59
194111,0.73
194112,0.50
194201,0.24
194202,0.40
194203,0.56
194204,0.49
194205,0.43
194206,0.39
194207,0.28
194208,0.20
194209,0.20
194210,0.11
194211,0.21
194212,0.15
194301,-0.02
194302,-0.08
194303,-0.23
194304,-0.21
194305,-0.17
194306,-0.30
194307,-0.22
194308,-0.04
194309,0.23
194310,0.26
194311,0.11
194312,0.09
194401,0.18
194402,0.31
194403,0.44
194404,0.30
194405,0.06
194406,0.29
194407,0.48
194408,0.30
194409,0.31
194410,0.33
194411,0.32
194412,0.14
194501,0.28
194502,0.21
194503,0.30
194504,0.61
194505,0.72
194506,0.73
194507,0.61
194508,1.28
194509,0.87
194510,0.41
194511,-0.07
194512,0.05
194601,0.26
194602,0.05
194603,0.21
194604,0.10
194605,-0.07
194606,-0.41
194607,-0.31
194608,-0.18
194609,-0.04
194610,-0.18
194611,-0.08
194612,-0.15
194701,-0.38
194702,-0.27
194703,-0.04
194704,-0.23
194705,-0.48
194706,-0.36
194707,-0.35
194708,-0.37
194709,-0.45
194710,-0.31
194711,-0.09
194712,-0.12
194801,0.02
194802,-0.01
194803,0.01
194804,-0.10
194805,0.13
194806,0.14
194807,0.07
194808,-0.07
194809,-0.16
194810,-0.09
194811,-0.09
194812,-0.19
194901,-0.07
194902,-0.16
194903,-0.25
