# Title: Caribbean Islands Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-1.13
191002,-1.01
191003,-1.00
191004,-1.00
191005,-1.09
191006,-0.92
191007,-0.85
191008,-0.69
191009,-0.62
191010,-0.67
191011,-0.71
191012,-0.60
191101,-0.76
191102,-0.83
191103,-0.83
191104,-0.51
191105,-0.66
191106,-0.56
191107,-0.53
191108,-0.47
191109,-0.59
191110,-0.35
191111,-0.16
191112,-0.28
191201,-0.20
191202,-0.18
191203,-0.11
191204,-0.21
191205,-0.27
191206,-0.46
191207,-0.50
191208,-0.55
191209,-0.44
191210,-0.40
191211,-0.52
191212,-0.25
191301,-0.16
191302,-0.31
191303,-0.39
191304,-0.85
191305,-1.01
191306,-1.06
191307,-0.86
191308,-0.91
191309,-0.86
191310,-0.81
191311,-0.69
191312,-0.57
191401,-0.56
191402,-0.24
191403,-0.61
191404,-0.24
191405,-0.27
191406,-0.52
191407,-0.54
191408,-0.56
191409,-0.31
191410,-0.30
191411,-0.23
191412,0.11
191501,0.14
191502,0.05
191503,-0.07
191504,-0.31
191505,-0.07
191506,0.10
191507,0.32
191508,0.29
191509,0.05
191510,-0.07
191511,-0.01
191512,-0.05
191601,-0.08
191602,-0.24
191603,-0.17
191604,-0.42
191605,-0.19
191606,-0.05
191607,-0.25
191608,-0.30
191609,-0.36
191610,-0.41
191611,-0.57
191612,-0.62
191701,-0.60
191702,-0.73
191703,-0.82
191704,-0.95
191705,-0.62
191706,-0.44
191707,-0.58
191708,-0.49
191709,-0.51
191710,-0.56
191711,-0.60
191712,-0.74
191801,-0.48
191802,-0.31
191803,-0.35
191804,-0.48
191805,-0.52
191806,-0.41
191807,-0.46
191808,-0.50
191809,-0.50
191810,-0.23
191811,-0.06
191812,-0.11
191901,-0.46
191902,-0.13
191903,-0.18
191904,-0.24
191905,-0.27
191906,-0.30
191907,-0.41
191908,-0.36
191909,-0.18
191910,-0.23
191911,-0.40
191912,-0.31
192001,-0.32
192002,-0.46
192003,-0.26
192004,-0.21
192005,-0.31
192006,-0.44
192007,-0.75
192008,-0.74
192009,-0.46
192010,-0.50
192011,-0.34
192012,-0.20
192101,-0.45
192102,-0.11
192103,-0.32
192104,-0.65
192105,-0.73
192106,-0.59
192107,-0.61
192108,-0.61
192109,-0.45
192110,-0.31
192111,-0.51
192112,-0.29
192201,-0.22
192202,-0.34
192203,-0.40
192204,-0.62
192205,-0.66
192206,-0.62
192207,-0.70
192208,-0.66
192209,-0.63
192210,-0.33
192211,-0.44
192212,-0.38
192301,-0.62
192302,-0.64
192303,-0.61
192304,-0.69
192305,-0.49
192306,-0.58
192307,-0.61
192308,-0.77
192309,-0.51
192310,-0.55
192311,-0.51
192312,-0.51
192401,-0.34
192402,-0.50
192403,-0.38
192404,-0.11
192405,-0.02
192406,-0.05
192407,-0.29
192408,-0.40
192409,-0.34
192410,-0.49
192411,-0.49
192412,-0.42
192501,-0.44
192502,-0.50
192503,-0.52
192504,-0.45
192505,-0.41
192506,-0.59
192507,-0.41
192508,-0.27
192509,-0.39
192510,-0.23
192511,-0.28
192512,-0.11
192601,-0.08
192602,0.06
192603,-0.16
192604,0.04
192605,0.05
192606,-0.06
192607,0.00
192608,0.01
192609,0.05
192610,0.03
192611,0.06
192612,0.05
192701,-0.20
192702,-0.07
192703,-0.14
192704,-0.18
192705,-0.08
192706,-0.23
192707,-0.24
192708,-0.15
192709,0.10
192710,0.08
192711,0.00
192712,-0.22
192801,-0.39
192802,-0.11
192803,-0.19
192804,-0.34
192805,-0.45
192806,-0.30
192807,-0.32
192808,-0.24
192809,-0.22
192810,-0.12
192811,-0.08
192812,-0.35
192901,-0.35
192902,-0.35
192903,-0.30
192904,-0.40
192905,-0.63
192906,-0.62
192907,-0.62
192908,-0.58
192909,-0.48
192910,-0.44
192911,-0.46
192912,-0.48
193001,-0.36
193002,-0.37
193003,-0.32
193004,-0.35
193005,-0.26
193006,-0.42
193007,-0.37
193008,-0.24
193009,-0.17
193010,-0.12
193011,-0.07
193012,0.06
193101,0.11
193102,0.01
193103,0.07
193104,0.08
193105,0.36
193106,0.35
193107,0.26
193108,0.16
193109,-0.08
193110,-0.03
193111,-0.26
193112,0.07
193201,0.11
193202,-0.01
193203,0.14
193204,-0.07
193205,-0.06
193206,0.13
193207,0.15
193208,0.27
193209,0.34
193210,0.23
193211,-0.10
193212,-0.11
193301,-0.03
193302,-0.11
193303,-0.16
193304,0.01
193305,0.12
193306,0.03
193307,0.04
193308,-0.10
193309,-0.20
193310,-0.10
193311,-0.28
193312,-0.15
193401,-0.21
193402,-0.37
193403,-0.31
193404,-0.23
193405,-0.24
193406,-0.25
193407,-0.28
193408,-0.17
193409,-0.13
193410,0.01
193411,-0.14
193412,-0.13
193501,-0.11
193502,-0.23
193503,-0.24
193504,-0.04
193505,-0.08
193506,-0.10
193507,-0.12
193508,-0.12
193509,-0.23
193510,-0.27
193511,-0.31
193512,-0.30
193601,-0.10
193602,-0.04
193603,-0.09
193604,-0.07
193605,0.04
193606,0.21
193607,0.09
193608,-0.05
193609,-0.07
193610,-0.01
193611,-0.04
193612,-0.05
193701,-0.03
193702,-0.16
193703,0.18
193704,0.00
193705,0.14
193706,0.04
193707,0.09
193708,0.15
193709,0.33
193710,0.25
193711,0.28
193712,-0.02
193801,-0.21
193802,-0.49
193803,-0.37
193804,-0.61
193805,-0.31
193806,-0.38
193807,-0.26
193808,-0.34
193809,-0.16
193810,-0.12
193811,-0.13
193812,-0.16
193901,-0.26
193902,-0.31
193903,-0.50
193904,-0.55
193905,-0.44
193906,-0.32
193907,-0.20
193908,-0.06
193909,0.17
193910,0.25
193911,0.08
193912,0.20
194001,0.43
194002,0.19
194003,0.17
194004,0.54
194005,0.30
194006,0.44
194007,0.42
194008,0.42
194009,0.26
194010,0.26
194011,0.37
194012,0.44
194101,0.45
194102,0.59
194103,0.44
194104,0.63
194105,0.46
194106,0.52
194107,0.29
194108,0.50
194109,0.51
194110,0.60
194111,0.72
194112,0.89
194201,0.59
194202,0.57
194203,0.67
194204,0.66
194205,0.47
