# Title: East N Pacific Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-1.01
191002,-1.21
191003,-1.10
191004,-1.12
191005,-0.27
191006,-0.16
191007,-0.66
191008,-0.48
191009,-0.20
191010,-0.26
191011,-0.29
191012,-0.06
191101,-0.22
191102,-0.28
191103,-0.02
191104,0.13
191105,-0.30
191106,-0.04
191107,-0.28
191108,-0.01
191109,0.27
191110,0.22
191111,0.13
191112,-0.21
191201,-0.10
191202,0.06
191203,0.24
191204,-0.01
191205,-0.05
191206,-0.07
191207,-0.21
191208,-0.46
191209,-0.66
191210,-0.62
191211,-0.67
191212,-0.62
191301,-0.74
191302,-0.44
191303,-0.84
191304,-0.80
191305,-0.82
191306,-0.72
191307,-0.55
191308,-0.54
191309,-0.51
191310,-0.50
191311,-0.56
191312,-0.46
191401,-0.50
191402,-0.52
191403,-0.48
191404,-0.06
191405,-0.04
191406,-0.12
191407,0.00
191408,0.07
191409,-0.09
191410,-0.32
191411,-0.28
191412,-0.01
191501,-0.04
191502,-0.36
191503,-0.32
191504,-0.57
191505,-0.45
191506,0.02
191507,0.15
191508,-0.04
191509,-0.08
191510,-0.20
191511,-0.39
191512,-0.15
191601,0.16
191602,0.42
191603,-0.16
191604,-0.58
191605,-0.58
191606,-0.68
191607,-1.12
191608,-1.35
191609,-1.43
191610,-1.29
191611,-1.32
191612,-1.65
191701,-1.32
191702,-1.35
191703,-1.18
191704,-1.23
191705,-1.64
191706,-1.22
191707,-1.02
191708,-1.12
191709,-0.64
191710,-0.66
191711,-0.64
191712,-0.45
191801,-0.23
191802,-0.50
191803,-0.29
191804,-0.53
191805,-0.29
191806,0.09
191807,0.18
191808,0.31
191809,0.34
191810,0.29
191811,0.55
191812,-0.37
191901,-0.26
191902,-0.13
191903,0.11
191904,-0.03
191905,-0.34
191906,-0.27
191907,0.29
191908,-0.03
191909,-0.02
191910,-0.13
191911,0.08
191912,-0.27
192001,-0.31
192002,0.06
192003,-0.14
192004,-0.25
192005,-0.31
192006,-0.35
192007,-0.34
192008,-0.33
192009,-0.24
192010,-0.43
192011,-0.27
192012,-0.18
192101,-0.02
192102,-0.43
192103,-0.40
192104,-0.72
192105,-0.79
192106,-0.59
192107,-0.56
192108,-0.35
192109,0.08
192110,-0.30
192111,-0.04
192112,-0.05
192201,-0.09
192202,-0.24
192203,-0.09
192204,-0.06
192205,-0.13
192206,-0.54
192207,-0.18
192208,0.02
192209,-0.21
192210,-0.46
192211,-0.57
192212,-0.22
192301,0.06
192302,-0.36
192303,-0.25
192304,-0.07
192305,0.04
192306,-0.37
192307,-0.37
192308,-0.37
192309,0.14
192310,-0.05
192311,0.04
192312,-0.23
192401,-0.48
192402,-0.22
192403,-0.18
192404,-0.11
192405,-0.20
192406,-0.28
192407,-0.61
192408,-0.49
192409,-0.49
192410,-0.61
192411,-0.74
192412,-0.78
192501,-0.79
192502,-0.97
192503,-0.40
192504,-0.22
192505,-0.20
192506,-0.12
192507,-0.09
