# Title: Europe Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,0.80
191002,1.98
191003,0.23
191004,-0.11
191005,-0.29
191006,0.20
191007,-0.87
191008,-0.79
191009,-0.67
191010,-0.59
191011,-0.73
191012,0.81
191101,-0.48
191102,-1.65
191103,-0.68
191104,-1.06
191105,0.11
191106,-0.88
191107,-0.22
191108,0.77
191109,0.26
191110,-0.46
191111,0.59
191112,0.99
191201,-1.33
191202,0.20
191203,1.45
191204,-1.18
191205,-0.96
191206,-0.07
191207,-0.62
191208,-1.28
191209,-2.10
191210,-1.97
191211,-1.19
191212,0.65
191301,-0.25
191302,-0.28
191303,0.91
191304,0.15
191305,-0.65
191306,-0.79
191307,-1.26
191308,-0.79
191309,-0.20
191310,-0.22
191311,1.10
191312,0.28
191401,-1.09
191402,1.41
191403,0.87
191404,0.56
191405,-0.50
191406,-0.63
191407,0.15
191408,-0.47
191409,-0.90
191410,-1.12
191411,-1.43
191412,0.80
191501,0.70
191502,0.23
191503,-1.34
191504,-0.51
191505,-0.55
191506,-0.12
191507,-0.23
191508,-0.89
191509,-1.28
191510,-1.41
191511,-1.41
191512,-0.18
191601,1.21
191602,0.56
191603,0.03
191604,0.02
191605,-0.22
191606,-0.51
191607,-0.21
191608,-0.87
191609,-1.19
191610,-0.55
191611,0.54
191612,0.81
191701,-0.61
191702,-2.33
191703,-2.04
191704,-1.37
191705,-0.63
191706,0.62
191707,-0.33
191708,0.21
191709,0.05
191710,-0.30
191711,0.22
191712,-1.82
191801,-0.33
191802,0.17
191803,-0.24
191804,0.37
191805,-0.53
191806,-1.30
191807,-0.50
191808,-0.52
191809,0.31
191810,0.40
191811,-0.10
191812,0.47
191901,0.94
191902,-0.40
191903,-0.48
191904,-0.66
191905,-1.41
191906,-0.36
191907,-1.00
191908,-0.86
191909,0.36
191910,-0.91
191911,-2.03
191912,-0.78
192001,0.49
192002,0.45
192003,1.51
192004,1.38
192005,1.14
192006,-0.25
192007,0.32
192008,-0.38
192009,-0.16
192010,-1.58
192011,-1.77
192012,-0.78
192101,1.54
192102,-0.57
192103,0.94
192104,0.52
192105,1.09
192106,-0.54
192107,-0.14
192108,0.02
192109,-0.63
192110,0.23
192111,-1.88
192112,-0.65
192201,-1.04
192202,-0.67
192203,0.27
192204,-0.79
192205,0.29
192206,0.10
192207,-0.25
192208,-0.49
192209,-1.12
192210,-1.32
192211,-1.00
192212,-0.42
192301,1.02
192302,-0.58
192303,0.41
192304,-1.06
192305,0.04
192306,-1.94
192307,-0.10
192308,-0.86
192309,-0.14
192310,0.91
192311,0.67
192312,-0.32
192401,-1.28
192402,-1.55
192403,-1.06
192404,-0.98
192405,0.57
192406,0.13
192407,-0.35
192408,-0.66
192409,0.74
192410,0.35
192411,-0.34
192412,0.00
192501,1.47
192502,2.18
192503,-0.54
192504,0.08
192505,0.25
192506,-0.88
192507,0.02
192508,-0.21
192509,-0.80
192510,-0.63
192511,-0.69
192512,-1.01
192601,-0.14
192602,0.92
192603,-0.12
192604,0.42
192605,-0.57
192606,-0.62
192607,-0.28
192608,-0.88
192609,0.00
192610,-0.35
192611,1.83
192612,-0.29
192701,0.26
192702,-0.56
192703,1.16
192704,-0.17
192705,-0.76
192706,-0.02
192707,0.55
192708,0.47
192709,0.28
192710,-0.08
192711,-0.63
192712,-2.14
192801,0.20
192802,-0.20
192803,-1.24
192804,0.06
192805,-1.08
192806,-1.16
192807,0.24
192808,-0.27
192809,-0.01
192810,-0.41
192811,1.13
192812,-0.43
192901,-1.90
192902,-4.84
192903,-1.63
192904,-2.50
192905,0.32
192906,-0.66
192907,-0.57
192908,0.30
192909,0.12
192910,0.65
192911,1.14
192912,1.60
193001,1.86
193002,0.12
193003,0.81
193004,0.50
193005,-0.12
193006,0.42
193007,-0.09
193008,0.11
193009,-0.21
193010,0.31
193011,0.98
193012,0.16
193101,0.15
193102,-0.77
193103,-1.24
193104,-1.34
193105,0.61
193106,0.13
193107,0.32
193108,-0.50
193109,-1.68
193110,-0.79
193111,-0.19
193112,-0.95
193201,1.01
193202,-1.94
193203,-1.99
193204,-0.68
193205,-0.20
193206,-0.74
193207,0.13
193208,0.53
193209,0.97
193210,0.70
193211,0.15
193212,1.10
193301,-0.83
193302,-0.28
193303,-0.16
193304,-1.08
193305,-0.82
193306,-0.91
193307,0.00
193308,-0.16
193309,-0.38
193310,0.29
193311,-0.19
193312,-2.48
193401,0.36
193402,0.16
193403,0.85
193404,0.82
193405,0.99
193406,0.00
193407,0.51
193408,0.06
193409,1.08
193410,0.85
193411,0.79
193412,1.31
193501,-0.93
193502,0.54
193503,-0.52
193504,-0.13
193505,-1.19
193506,0.61
193507,-0.25
193508,-0.15
193509,0.28
193510,0.93
193511,0.15
193512,0.83
193601,2.43
193602,-0.12
193603,1.01
193604,-0.08
193605,0.12
193606,0.29
193607,0.87
193608,-0.05
193609,-0.39
193610,-1.44
193611,0.38
193612,0.74
193701,-0.50
193702,0.60
193703,0.52
193704,0.48
193705,1.26
193706,0.76
193707,0.64
193708,0.88
193709,0.98
193710,0.63
193711,0.60
193712,-0.20
193801,0.49
193802,0.86
193803,1.43
193804,-0.82
193805,-0.80
193806,0.35
193807,0.74
193808,0.97
193809,0.45
193810,0.92
193811,1.74
193812,-0.27
193901,1.53
193902,1.71
193903,-0.71
193904,0.36
193905,-0.57
193906,0.12
193907,0.20
193908,0.69
193909,-0.05
193910,-0.67
193911,0.41
193912,-0.77
194001,-3.39
194002,-2.26
194003,-1.84
194004,-0.58
194005,-0.46
194006,-0.07
194007,-0.34
194008,-0.88
194009,-0.40
194010,-0.49
194011,0.89
194012,-1.78
194101,-2.28
194102,0.09
194103,-0.64
194104,-1.00
194105,-1.65
194106,-0.68
194107,0.28
194108,-0.77
194109,-1.29
194110,-1.18
194111,-1.76
194112,-1.75
194201,-4.54
194202,-2.79
194203,-2.36
194204,-0.69
194205,-0.23
194206,-0.11
194207,-0.37
194208,0.22
194209,0.58
194210,0.44
194211,-0.86
194212,0.18
194301,-1.02
194302,1.03
194303,0.47
194304,0.67
194305,-0.19
194306,-0.10
194307,-0.34
194308,0.42
194309,0.52
194310,1.03
194311,0.32
194312,0.69
194401,1.13
194402,0.26
194403,-0.58
194404,-0.25
194405,-0.68
194406,-0.46
194407,0.01
194408,0.60
194409,0.09
194410,0.48
194411,0.12
194412,-0.16
194501,-1.61
194502,0.57
194503,0.11
194504,0.38
194505,0.43
194506,0.37
194507,0.65
194508,0.35
194509,0.16
194510,-0.41
194511,-0.20
194512,-0.64
194601,-0.41
194602,0.27
194603,-0.05
194604,0.86
194605,0.54
194606,0.43
194607,0.71
194608,0.74
194609,1.11
194610,-1.27
194611,0.04
194612,-0.74
194701,-1.99
194702,-2.69
194703,-0.17
194704,0.75
194705,0.62
194706,1.13
194707,0.94
194708,0.64
194709,1.02
194710,-0.58
194711,0.54
194712,0.75
194801,1.85
194802,0.28
194803,0.56
194804,0.85
194805,0.62
194806,0.06
194807,-0.61
194808,-0.16
194809,-0.09
194810,-0.04
194811,-0.11
194812,-0.32
194901,1.21
194902,0.78
194903,-1.01
194904,0.38
194905,0.46
194906,-0.54
194907,-0.15
194908,-0.51
194909,0.87
194910,0.47
194911,1.17
194912,1.39
195001,-2.12
195002,0.79
195003,0.71
195004,1.17
195005,0.63
195006,0.55
195007,0.33
195008,0.22
195009,0.45
195010,-0.20
195011,0.37
195012,0.32
195101,0.35
195102,0.56
195103,-0.16
195104,0.54
195105,-0.68
195106,-0.10
195107,-0.25
195108,0.65
195109,0.81
195110,-0.89
195111,0.68
195112,0.76
195201,0.88
195202,0.29
195203,-1.65
195204,1.09
195205,-0.47
195206,-0.15
195207,0.27
195208,0.60
195209,-0.50
195210,-0.19
195211,-0.69
195212,-0.27
195301,0.02
195302,-0.67
195303,-0.02
195304,0.52
195305,0.13
195306,0.78
195307,0.47
195308,0.13
195309,0.06
195310,0.88
195311,-0.45
195312,0.36
195401,-2.17
195402,-3.19
195403,0.32
195404,-1.25
195405,0.13
195406,0.83
195407,-0.35
195408,-0.07
195409,0.57
195410,0.24
195411,0.32
195412,1.63
195501,0.91
195502,0.34
195503,-1.16
195504,-1.12
195505,-0.69
195506,-0.54
195507,0.28
195508,0.35
195509,0.74
195510,0.55
195511,-0.31
195512,-0.10
195601,0.41
195602,-4.57
195603,-1.47
195604,-1.05
195605,-0.41
195606,-0.25
195607,-0.66
195608,-0.77
195609,-0.47
195610,-0.47
195611,-2.24
195612,-0.34
195701,0.01
195702,2.04
195703,0.43
195704,0.31
195705,-0.95
195706,0.20
195707,0.42
195708,-0.08
195709,-0.10
195710,0.22
195711,0.41
195712,-0.33
195801,0.02
195802,1.06
195803,-1.78
195804,-1.35
195805,0.78
195806,-0.67
195807,-0.42
195808,0.00
195809,0.26
195810,0.45
195811,0.64
195812,0.51
195901,0.74
195902,0.28
195903,1.42
195904,0.59
195905,0.11
195906,0.12
195907,1.09
195908,0.39
195909,-0.80
195910,-0.63
195911,-0.28
195912,0.31
196001,-0.02
196002,-0.30
196003,-0.04
196004,-0.03
196005,0.43
196006,0.77
196007,-0.17
196008,-0.19
196009,-0.50
196010,0.22
196011,1.11
196012,1.68
196101,0.28
196102,2.05
196103,1.66
196104,1.36
196105,-0.05
196106,0.97
196107,-0.37
196108,-0.25
196109,0.61
196110,1.23
196111,0.75
196112,-0.30
196201,1.28
196202,0.16
196203,-1.63
196204,0.55
196205,-0.43
196206,-0.79
196207,-0.91
196208,-0.02
196209,-0.12
196210,0.71
196211,0.79
196212,-1.38
196301,-2.82
196302,-1.95
196303,-1.85
196304,-0.14
196305,0.60
196306,0.03
196307,0.40
196308,0.40
196309,0.70
196310,0.35
196311,1.43
196312,-1.52
196401,-0.92
196402,-0.65
196403,-1.23
196404,0.04
196405,0.16
196406,1.04
196407,-0.01
196408,-0.77
196409,-0.06
196410,0.22
196411,0.25
196412,0.27
196501,0.54
196502,-1.53
196503,-0.46
196504,-0.82
196505,-0.99
196506,0.12
196507,-0.97
196508,-1.03
196509,0.08
196510,-0.32
196511,-1.32
196512,0.29
196601,-0.65
196602,1.05
196603,0.10
196604,0.56
196605,0.23
196606,0.49
196607,-0.03
196608,-0.17
196609,-0.25
196610,1.43
196611,0.35
196612,0.31
196701,-1.14
196702,0.21
196703,1.16
196704,-0.07
196705,0.30
196706,-0.58
196707,0.21
196708,0.32
196709,0.67
196710,1.45
196711,1.08
196712,-0.94
196801,-1.57
196802,0.24
196803,0.31
196804,1.05
196805,0.24
196806,0.50
196807,-0.59
196808,-0.53
196809,0.06
196810,0.00
196811,0.26
196812,-0.29
196901,-1.06
196902,-1.45
196903,-1.43
196904,-0.61
196905,0.35
196906,-0.09
196907,-0.37
196908,0.19
196909,-0.06
196910,0.35
196911,0.63
196912,-1.73
197001,-0.22
197002,-0.82
197003,-0.27
197004,-0.18
197005,-0.34
197006,0.67
197007,-0.05
197008,-0.14
197009,-0.05
197010,-0.47
197011,0.66
197012,-0.01
197101,0.90
197102,0.57
197103,-1.24
197104,-0.09
197105,0.70
197106,-0.50
197107,-0.11
197108,0.41
197109,-0.47
197110,-0.25
197111,-0.60
197112,0.89
197201,-1.48
197202,0.45
197203,0.70
197204,0.67
197205,-0.15
197206,0.40
197207,0.76
197208,0.00
197209,-1.04
197210,-0.78
197211,0.14
197212,0.85
197301,0.44
197302,1.34
197303,0.42
197304,-0.28
197305,0.33
197306,0.21
197307,0.38
197308,-0.02
197309,-0.16
197310,-0.68
197311,-1.32
197312,-0.98
197401,0.89
197402,2.02
197403,1.30
197404,-0.37
197405,-0.71
197406,-0.38
197407,-0.70
197408,-0.02
197409,0.23
197410,-0.44
197411,0.20
197412,1.50
197501,2.30
197502,1.16
197503,1.27
197504,0.53
197505,0.66
197506,-0.06
197507,0.31
197508,0.48
197509,1.10
197510,-0.09
197511,-0.48
197512,-0.04
