# Title: Gulf of Mexico Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.76
191002,-1.08
191003,-0.40
191004,-0.80
191005,-1.21
191006,-0.93
191007,-1.02
191008,-0.45
191009,-0.49
191010,-0.46
191011,-0.83
191012,-1.22
191101,-0.17
191102,0.73
191103,0.43
191104,0.43
191105,-0.42
191106,-0.07
191107,-0.66
191108,-0.25
191109,0.27
191110,0.57
191111,0.04
191112,-0.08
191201,-0.68
191202,-1.50
191203,-0.48
191204,0.26
191205,0.16
191206,-0.64
191207,-0.48
191208,-0.36
191209,0.01
191210,-0.03
191211,-1.00
191212,-0.76
191301,0.34
191302,0.20
191303,-0.18
191304,-0.87
191305,-1.07
191306,-1.06
191307,-0.73
191308,-0.66
191309,-0.83
191310,-0.70
191311,-0.50
191312,-0.18
191401,-0.27
191402,-0.33
191403,-1.08
191404,-0.60
191405,-0.14
191406,-0.20
191407,-0.04
191408,-0.21
191409,-0.11
191410,-0.23
191411,-0.43
191412,-0.39
191501,-0.29
191502,-0.25
191503,-1.48
191504,-0.97
191505,0.13
191506,0.01
191507,0.47
191508,0.23
191509,0.04
191510,0.04
191511,0.48
191512,0.05
191601,0.86
191602,0.49
191603,0.42
191604,-0.39
191605,-0.24
191606,-0.16
191607,-0.14
191608,-0.21
191609,-0.31
191610,-0.19
191611,-0.24
191612,0.13
191701,0.90
191702,0.18
191703,0.26
191704,-0.67
191705,-1.44
191706,-0.89
191707,-0.79
191708,-0.71
191709,-0.74
191710,-1.08
191711,-1.32
191712,-1.28
191801,-1.08
191802,0.23
191803,1.13
191804,-0.09
191805,-0.15
191806,-0.19
191807,-0.74
191808,-0.83
191809,-1.07
191810,-0.33
191811,-0.84
191812,-0.50
191901,-1.06
191902,-0.26
191903,0.48
191904,-0.06
191905,-0.61
191906,-0.88
191907,-0.74
191908,-0.09
191909,-0.42
191910,0.85
191911,0.69
191912,0.39
192001,0.18
192002,0.03
192003,-0.48
192004,-0.23
192005,-0.26
192006,-0.58
192007,-0.57
192008,-0.59
192009,-0.17
192010,-0.55
192011,-0.76
192012,-0.86
192101,-0.14
192102,-0.32
192103,0.91
192104,-0.18
192105,-0.98
192106,-0.32
192107,-0.33
192108,-0.31
192109,-0.03
192110,-0.18
192111,0.50
192112,0.62
192201,0.59
192202,1.02
192203,0.45
192204,0.70
192205,0.35
192206,-0.29
192207,-0.45
192208,-0.40
192209,-0.25
192210,-0.30
192211,0.74
192212,1.06
192301,0.86
192302,0.33
192303,0.21
192304,0.14
192305,-0.04
192306,-0.31
192307,-0.75
192308,-0.44
192309,-0.08
192310,-0.39
192311,-1.16
192312,0.30
192401,-0.60
192402,-0.83
192403,-1.31
192404,-0.62
192405,-0.53
192406,0.39
192407,0.03
192408,0.17
192409,-0.26
192410,-0.64
192411,-0.18
192412,-0.29
192501,0.14
192502,0.35
192503,0.48
192504,0.40
192505,-0.38
192506,-0.40
192507,-0.27
192508,-0.06
192509,0.29
192510,0.52
192511,0.02
192512,-0.49
192601,-0.95
192602,-0.30
192603,-0.52
192604,-0.21
192605,-0.50
192606,-0.18
192607,-0.34
192608,-0.07
192609,0.13
192610,0.45
192611,-0.34
192612,0.52
192701,-0.02
192702,0.85
192703,0.34
192704,0.81
192705,0.36
192706,-0.07
192707,-0.09
192708,-0.04
192709,0.10
192710,0.14
192711,0.52
192712,0.06
192801,-0.49
192802,-0.22
192803,0.22
192804,-0.69
192805,-0.82
192806,-0.55
192807,-0.32
192808,-0.07
192809,-0.30
192810,0.44
192811,-0.07
192812,-0.43
192901,-0.13
192902,-0.10
192903,0.56
192904,0.89
192905,0.09
192906,-0.58
192907,-0.77
192908,-0.50
192909,-0.59
192910,-0.58
192911,-0.24
192912,-0.62
193001,-0.65
193002,-0.32
193003,-0.70
193004,-0.51
193005,-0.11
193006,-0.78
193007,-0.22
193008,-0.24
193009,-0.03
193010,-0.20
193011,-0.53
193012,-0.80
193101,-0.85
193102,-0.44
193103,-1.48
193104,-1.62
193105,-1.33
193106,-0.57
193107,-0.21
193108,-0.56
193109,0.00
193110,0.32
193111,0.32
193112,1.07
193201,1.25
193202,1.73
193203,0.17
193204,0.13
193205,-0.32
193206,-0.01
193207,-0.21
193208,-0.13
193209,-0.22
193210,-0.33
193211,-0.72
193212,-0.28
193301,0.58
193302,0.46
193303,0.50
193304,0.54
193305,0.53
193306,-0.31
193307,-0.40
193308,-0.35
193309,-0.09
193310,0.11
193311,0.31
