# Title: Hawaiian Region Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.91
191002,-1.32
191003,-1.47
191004,-0.99
191005,-0.56
191006,-0.74
191007,-0.78
191008,-0.56
191009,-0.63
191010,-1.02
191011,-0.98
191012,-0.76
191101,-0.54
191102,-0.99
191103,-0.38
191104,-0.48
191105,-0.48
191106,-0.86
191107,-0.98
191108,-0.93
191109,-1.06
191110,-0.94
191111,-0.79
191112,-1.07
191201,-0.54
191202,-0.46
191203,-0.44
191204,-0.65
191205,-0.55
191206,-0.28
191207,-0.32
191208,-0.27
191209,-0.16
191210,-0.06
191211,-0.17
191212,-0.76
191301,-0.71
191302,-0.62
191303,-0.46
191304,-0.52
191305,-0.48
191306,-0.67
191307,-0.54
191308,-0.13
191309,-0.20
191310,-0.13
191311,-0.35
191312,-0.41
191401,-0.37
191402,-0.39
191403,-0.33
191404,-0.33
191405,-0.18
191406,-0.19
191407,-0.24
191408,-0.11
191409,-0.35
191410,-0.38
191411,-0.42
191412,-0.54
191501,-0.76
191502,-0.85
191503,-0.39
191504,0.04
191505,0.50
191506,0.37
191507,0.34
191508,0.17
191509,-0.08
191510,-0.62
191511,-0.61
191512,-0.37
191601,-0.48
191602,-0.08
191603,-0.12
191604,0.09
191605,-0.30
191606,-0.38
191607,-0.55
191608,-0.64
191609,-0.83
191610,-0.95
191611,-0.83
191612,-1.00
191701,-0.83
191702,-0.67
191703,-0.86
191704,-0.69
191705,-0.69
191706,-1.06
191707,-0.77
191708,-0.57
191709,-0.18
191710,-0.17
191711,-0.38
191712,0.18
191801,0.06
191802,0.00
191803,-0.26
191804,-0.53
191805,-0.67
191806,-0.20
191807,-0.20
191808,-0.31
191809,-0.17
191810,-0.29
191811,-0.13
191812,-0.60
191901,-0.61
191902,-0.87
191903,-0.81
191904,-0.60
191905,-0.65
191906,-0.30
191907,-0.63
191908,-0.42
191909,-0.43
191910,-0.42
191911,-0.36
191912,-0.55
192001,-0.49
192002,-0.01
192003,-0.28
192004,-0.66
192005,0.05
192006,0.27
192007,0.15
192008,-0.13
192009,-0.44
192010,-0.43
192011,-0.58
192012,-0.42
192101,-0.49
192102,-0.46
192103,-0.17
192104,-0.45
192105,-0.45
192106,-0.18
192107,-0.24
192108,-0.57
192109,-0.55
192110,-0.61
192111,-0.38
192112,-0.50
192201,-0.86
192202,-0.84
192203,-0.74
192204,-0.29
192205,-0.54
192206,-0.42
192207,-0.24
192208,-0.64
192209,-0.47
192210,-0.44
192211,-0.23
192212,-0.10
192301,-0.17
192302,-0.52
192303,-0.32
192304,-0.34
192305,-0.10
192306,-0.33
192307,-0.40
192308,-0.27
192309,-0.11
192310,0.05
192311,-0.12
192312,-0.30
192401,-0.51
192402,-0.47
192403,-0.30
192404,-0.25
192405,-0.07
192406,-0.09
192407,-0.18
192408,-0.39
192409,-0.44
192410,-0.63
192411,-0.43
192412,-0.10
192501,-0.31
192502,-0.32
192503,-0.44
192504,-0.67
192505,-0.52
192506,-0.43
192507,-0.42
192508,-0.55
192509,-0.52
192510,-0.31
192511,-0.15
192512,0.08
192601,0.15
192602,-0.03
192603,-0.19
192604,-0.08
192605,0.09
192606,0.30
192607,0.44
192608,0.35
192609,0.31
192610,0.09
192611,0.16
192612,0.23
192701,0.09
192702,0.15
192703,0.25
192704,0.35
192705,0.12
192706,-0.08
192707,-0.34
192708,-0.25
192709,-0.44
192710,-0.53
192711,-0.21
192712,-0.10
192801,-0.23
192802,-0.28
192803,0.16
192804,0.15
192805,-0.07
192806,0.14
192807,-0.06
192808,-0.22
192809,-0.27
192810,-0.41
192811,-0.33
192812,-0.32
192901,-0.58
192902,-0.35
192903,-0.40
192904,-0.06
192905,-0.03
192906,-0.13
192907,0.21
192908,0.37
192909,0.43
192910,0.38
192911,0.24
192912,0.11
193001,0.27
193002,0.47
193003,0.17
193004,-0.09
193005,-0.32
193006,-0.27
193007,-0.05
193008,-0.19
193009,0.38
193010,0.21
193011,-0.11
193012,-0.28
193101,-0.14
193102,-0.18
193103,-0.28
193104,-0.18
193105,-0.04
193106,0.31
193107,0.16
193108,0.13
193109,0.20
193110,0.14
193111,-0.12
193112,-0.36
193201,-0.16
193202,-0.22
193203,-0.20
193204,-0.15
193205,-0.58
193206,-0.72
193207,-0.75
193208,-0.69
193209,-0.68
193210,-0.67
193211,-0.50
193212,-0.61
193301,-0.66
193302,-0.73
193303,-0.56
193304,-0.54
193305,-0.96
193306,-1.12
193307,-1.14
193308,-0.93
193309,-1.47
193310,-1.07
193311,-0.63
193312,-0.47
193401,-0.19
193402,-0.13
193403,0.03
193404,-0.23
193405,-0.17
193406,0.17
193407,0.23
193408,0.26
193409,0.39
193410,0.14
193411,0.34
193412,0.46
193501,0.01
193502,-0.02
193503,-0.01
193504,-0.23
193505,0.10
193506,0.04
193507,0.00
193508,-0.42
193509,-0.35
193510,0.40
193511,0.40
193512,0.17
193601,0.37
193602,0.21
193603,0.27
193604,0.35
193605,0.00
193606,0.27
193607,0.24
193608,0.28
193609,0.21
193610,-0.03
193611,0.16
193612,-0.20
193701,-0.12
193702,0.07
193703,-0.15
193704,0.05
193705,-0.07
193706,0.23
193707,0.10
193708,-0.09
193709,-0.25
193710,-0.22
193711,-0.01
193712,0.32
193801,0.57
193802,0.83
193803,0.61
193804,0.41
193805,0.24
193806,0.23
193807,0.36
193808,0.04
193809,-0.08
193810,0.01
193811,-0.07
193812,0.14
193901,-0.29
193902,-0.25
193903,-0.07
193904,-0.15
193905,-0.12
193906,-0.36
193907,-0.49
193908,-0.57
193909,-0.39
193910,-0.25
193911,-0.39
193912,0.13
194001,0.24
194002,0.50
194003,0.69
194004,1.14
194005,1.03
194006,1.02
194007,0.97
194008,0.90
194009,0.69
194010,0.60
194011,0.84
194012,1.00
194101,0.94
194102,0.81
194103,0.42
194104,0.57
194105,0.78
194106,0.89
194107,0.83
194108,1.00
194109,0.96
194110,0.73
194111,0.88
194112,0.78
194201,0.53
194202,0.44
194203,0.00
194204,-0.18
194205,0.16
194206,0.32
194207,0.33
194208,0.22
194209,0.27
194210,0.50
194211,0.63
194212,0.63
194301,0.84
194302,0.67
194303,0.40
194304,0.69
194305,0.68
194306,0.53
194307,0.40
194308,0.39
194309,0.18
194310,0.14
194311,0.10
194312,0.20
194401,0.01
194402,0.14
194403,0.43
194404,0.29
194405,0.26
194406,0.10
194407,-0.10
194408,-0.24
194409,0.05
194410,0.14
194411,0.19
194412,0.18
194501,0.18
194502,0.39
194503,-0.02
194504,0.25
194505,0.56
194506,0.63
194507,0.52
194508,0.28
194509,0.11
194510,0.14
194511,0.14
194512,0.14
194601,0.25
194602,0.32
194603,0.12
194604,-0.19
194605,-0.10
194606,0.18
194607,0.82
194608,0.49
194609,0.52
194610,0.51
194611,-0.14
194612,-0.61
194701,0.20
194702,0.72
194703,1.05
194704,0.74
194705,0.21
194706,0.51
194707,-0.01
194708,-0.07
194709,0.14
194710,0.47
194711,0.24
194712,0.23
194801,-0.33
194802,-0.72
194803,-1.18
194804,-0.28
194805,0.09
194806,0.22
194807,0.47
194808,0.41
194809,-0.15
194810,-0.40
194811,-0.64
194812,-0.61
194901,-0.62
194902,-0.54
194903,-0.46
194904,-0.88
194905,-0.60
194906,-0.58
194907,-0.34
194908,-0.50
194909,-0.82
194910,-0.77
194911,-0.63
194912,-0.52
195001,-0.21
195002,-0.14
195003,-0.24
195004,-0.29
195005,-0.43
195006,-0.36
195007,-0.59
195008,-0.49
195009,-0.27
195010,-0.11
195011,0.07
195012,0.12
195101,0.03
195102,-0.07
195103,0.03
195104,0.10
195105,0.54
195106,0.37
195107,0.35
195108,-0.06
195109,0.23
195110,-0.04
195111,-0.25
195112,-0.10
195201,-0.22
195202,0.10
195203,-0.04
195204,-0.16
195205,-0.23
195206,-0.44
195207,-0.41
195208,-0.34
195209,-0.79
195210,-0.29
195211,-0.22
195212,-0.11
195301,-0.10
195302,0.02
195303,-0.32
195304,-0.09
195305,0.08
195306,0.02
195307,-0.06
195308,-0.08
195309,-0.26
195310,-0.29
195311,-0.30
195312,-0.27
195401,0.01
195402,0.08
195403,-0.19
195404,0.43
195405,0.18
195406,-0.13
195407,0.15
195408,0.15
195409,-0.05
195410,0.18
195411,0.53
195412,-0.01
195501,-0.24
195502,-0.52
195503,-0.33
195504,-0.69
195505,-0.75
195506,-1.05
195507,-0.77
195508,-0.78
195509,-0.83
195510,-0.88
195511,-0.52
195512,-0.16
195601,0.32
195602,0.05
195603,-0.16
195604,-0.18
195605,-0.36
195606,-0.73
195607,-0.46
195608,-0.08
195609,-0.24
195610,-0.15
195611,-0.21
195612,0.15
195701,0.08
195702,-0.14
195703,-0.30
195704,-0.21
195705,0.24
195706,0.23
195707,0.27
195708,0.01
195709,0.33
195710,0.50
195711,0.57
195712,0.54
195801,0.02
195802,0.29
195803,0.21
195804,0.04
195805,0.01
195806,0.26
195807,0.25
195808,0.43
195809,0.33
195810,0.31
195811,0.42
195812,0.22
195901,0.56
195902,0.26
195903,0.24
195904,0.40
195905,0.26
195906,0.38
195907,0.48
195908,0.50
195909,0.63
195910,0.53
195911,0.49
195912,0.23
196001,-0.03
196002,0.26
196003,0.23
196004,0.14
196005,0.42
196006,0.33
196007,0.29
196008,0.16
196009,0.10
196010,0.25
196011,0.10
196012,0.35
196101,0.32
196102,0.55
196103,0.74
196104,0.63
196105,0.31
196106,0.20
196107,0.14
196108,0.26
196109,0.27
196110,0.23
196111,0.02
196112,-0.28
196201,0.13
196202,0.28
196203,0.12
196204,0.15
196205,0.16
196206,0.09
196207,0.08
196208,0.04
196209,0.02
196210,-0.18
196211,0.02
196212,-0.19
196301,-0.04
196302,0.53
196303,0.31
196304,0.68
196305,0.12
196306,0.00
196307,-0.06
196308,0.07
196309,0.16
196310,0.17
196311,0.44
196312,0.69
196401,0.53
196402,0.26
196403,-0.27
196404,0.06
196405,-0.31
196406,0.14
196407,0.03
196408,-0.03
196409,-0.13
196410,-0.29
196411,-0.36
196412,0.17
196501,0.30
196502,-0.13
196503,-0.18
196504,-0.10
196505,0.29
196506,-0.16
196507,-0.12
196508,0.12
196509,0.58
196510,0.53
196511,0.24
196512,-0.17
196601,-0.26
196602,-0.11
196603,0.50
196604,0.29
196605,0.45
196606,0.31
196607,0.38
196608,0.33
196609,0.39
196610,0.44
196611,0.69
196612,0.55
196701,0.22
196702,0.38
196703,0.46
196704,0.49
196705,0.66
196706,0.80
196707,0.61
196708,0.65
196709,0.75
196710,0.45
196711,0.31
196712,0.18
196801,0.27
196802,0.72
196803,0.76
196804,0.77
196805,0.82
196806,1.07
196807,0.95
196808,0.85
196809,0.85
196810,1.25
196811,1.29
196812,1.02
196901,0.75
196902,0.57
196903,0.21
196904,0.06
196905,0.31
196906,0.69
196907,0.30
196908,0.10
196909,0.02
196910,-0.08
196911,0.11
196912,0.31
197001,0.36
197002,0.26
197003,0.03
197004,0.17
197005,0.05
197006,0.03
197007,-0.12
197008,0.17
197009,-0.07
197010,0.00
197011,-0.05
197012,-0.08
197101,-0.36
197102,-0.02
197103,-0.13
197104,-0.15
197105,-0.24
197106,-0.46
197107,-0.49
197108,-0.40
197109,-0.26
197110,-0.16
197111,-0.43
197112,-0.47
197201,-0.72
197202,-0.54
197203,-0.05
197204,-0.11
197205,-0.03
197206,-0.10
197207,-0.24
197208,-0.01
197209,0.06
197210,-0.16
197211,-0.34
197212,-0.26
197301,-0.14
197302,-0.33
197303,-0.40
197304,-0.53
197305,-0.52
197306,-0.67
197307,-0.25
197308,-0.11
197309,-0.22
197310,-0.17
197311,-0.11
197312,-0.11
197401,0.32
197402,0.31
197403,0.27
