# Title: North America Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.05
191002,-3.27
191003,1.54
191004,0.06
191005,-0.77
191006,-0.40
191007,-0.33
191008,-0.58
191009,-0.60
191010,0.13
191011,0.32
191012,-0.88
191101,-2.03
191102,-0.85
191103,-0.45
191104,-0.36
191105,-0.03
191106,0.26
191107,-0.57
191108,-0.83
191109,-0.19
191110,0.29
191111,-1.94
191112,-0.10
191201,-2.12
191202,-0.36
191203,-2.06
191204,-0.63
191205,0.02
191206,-0.59
191207,-1.30
191208,-1.11
191209,-0.63
191210,-0.02
191211,0.46
191212,-0.24
191301,-1.95
191302,-1.28
191303,-1.94
191304,-0.12
191305,-0.91
191306,-0.44
191307,-1.02
191308,-0.42
191309,-0.97
191310,-1.66
191311,-0.15
191312,-0.05
191401,0.02
191402,-2.80
191403,-0.78
191404,-0.87
191405,-0.37
191406,-0.53
191407,-0.60
191408,-0.60
191409,-0.30
191410,0.69
191411,-0.10
191412,-1.12
191501,0.18
191502,0.64
191503,-0.41
191504,1.63
191505,-0.01
191506,-0.84
191507,-0.76
191508,-0.16
191509,-0.24
191510,0.33
191511,0.88
191512,0.97
191601,-1.61
191602,-0.86
191603,-0.63
191604,-0.09
191605,0.10
191606,-0.48
191607,-0.19
191608,-0.28
191609,-0.38
191610,-0.34
191611,-0.54
191612,-1.63
191701,-1.23
191702,-1.75
191703,-0.71
191704,-1.46
191705,-2.02
191706,-0.98
191707,-0.03
191708,-0.49
191709,-0.10
191710,-1.84
191711,0.41
191712,-4.30
191801,-2.27
191802,-2.19
191803,-0.56
191804,-1.64
191805,-1.28
191806,-0.98
191807,-1.02
191808,-0.71
191809,-0.72
191810,-0.16
191811,-0.64
191812,0.24
191901,1.29
191902,-0.68
191903,-1.27
191904,-0.39
191905,0.15
191906,-0.28
191907,0.00
191908,0.11
191909,-0.03
191910,-1.53
191911,-0.88
191912,-0.92
192001,-1.40
192002,0.94
192003,-1.21
192004,-2.03
192005,-0.83
192006,-0.60
192007,-0.60
192008,-0.58
192009,-0.16
192010,0.05
192011,-0.76
192012,0.00
192101,-0.05
192102,-0.20
192103,-0.34
192104,-0.54
192105,-0.01
192106,0.41
192107,0.17
192108,-0.54
192109,-0.10
192110,0.10
192111,-0.46
192112,0.53
192201,-0.07
192202,-2.22
192203,-1.04
192204,-0.37
192205,-0.23
192206,-0.79
192207,-0.99
192208,-0.24
192209,0.13
192210,-0.38
192211,0.20
192212,-0.82
192301,-0.67
192302,-1.31
192303,-2.68
192304,-0.55
192305,-0.18
192306,0.13
192307,-0.15
192308,-0.58
192309,-0.19
192310,0.08
192311,1.17
192312,0.46
192401,-1.13
192402,0.10
192403,0.73
192404,-0.81
192405,-0.32
192406,-0.16
192407,-0.59
192408,-0.04
192409,-0.71
192410,0.27
192411,0.05
192412,-2.26
192501,-2.47
192502,-0.32
192503,0.09
192504,0.85
192505,-0.16
192506,0.04
192507,-0.22
192508,-0.21
192509,0.04
192510,-1.70
192511,-0.22
192512,1.02
192601,1.16
192602,1.09
192603,-0.13
192604,-0.20
192605,0.10
192606,-0.29
