# Title: Oceania Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.12
191002,-0.12
191003,-1.00
191004,-0.08
191005,0.17
191006,-0.11
191007,0.00
191008,0.16
191009,0.36
191010,-0.99
191011,-0.71
191012,-0.84
191101,-0.44
191102,-0.89
191103,-0.53
191104,-0.53
191105,-0.54
191106,-1.08
191107,-0.44
191108,-0.31
191109,-0.46
191110,-0.33
191111,0.33
191112,-0.33
191201,0.43
191202,0.62
191203,0.26
191204,-0.61
191205,-0.25
191206,-0.49
191207,-0.28
191208,0.01
191209,-0.13
191210,-0.06
191211,-0.43
191212,0.04
191301,-0.51
191302,-0.24
191303,-0.80
191304,-0.16
191305,-1.61
191306,-1.29
191307,-0.28
191308,-0.38
191309,-0.81
191310,0.00
191311,-0.12
191312,0.16
191401,-0.16
191402,0.38
191403,0.47
191404,0.55
191405,0.05
191406,-0.13
191407,-0.64
191408,0.35
191409,-0.16
191410,0.43
191411,0.88
191412,0.55
191501,-0.34
191502,0.79
191503,0.36
191504,0.19
191505,-0.49
191506,0.67
191507,0.85
191508,-0.06
191509,0.46
191510,-0.09
191511,0.32
191512,-0.03
191601,0.08
191602,0.20
191603,-0.01
191604,-0.87
191605,0.22
191606,0.35
191607,-0.32
191608,0.24
191609,0.19
191610,-0.63
191611,-1.30
191612,-0.81
191701,-0.71
191702,-1.71
191703,-0.81
191704,-0.90
191705,-1.30
191706,-0.93
191707,0.37
191708,-0.45
191709,-0.18
191710,-0.41
191711,-0.89
191712,-0.17
191801,-0.58
191802,-0.88
191803,-1.21
191804,-0.58
191805,-0.24
191806,0.07
191807,-0.85
191808,-0.24
191809,-0.31
191810,-0.21
191811,0.16
191812,0.19
191901,0.05
191902,-0.21
191903,-0.30
191904,0.36
191905,-0.07
191906,0.23
191907,-0.29
191908,-0.34
191909,-0.49
191910,-0.45
191911,0.16
191912,0.52
192001,-0.78
192002,-0.21
192003,-0.79
192004,-0.72
192005,-0.67
192006,-0.04
192007,-0.17
192008,-0.29
192009,-0.25
192010,-0.11
192011,-0.05
192012,-0.54
192101,-0.33
192102,-0.07
192103,-0.72
192104,-0.33
192105,0.71
192106,0.62
192107,0.31
192108,-0.55
192109,-0.01
192110,-0.57
192111,0.38
192112,-0.09
192201,-0.27
192202,0.12
192203,-0.34
192204,0.61
192205,-0.41
192206,-0.39
192207,-1.13
192208,-0.80
192209,-0.28
192210,0.03
192211,0.37
192212,-0.46
192301,-0.31
192302,0.73
192303,0.42
192304,0.35
192305,0.34
192306,-0.44
192307,-0.61
192308,-1.03
192309,-0.98
192310,-0.69
192311,-0.52
192312,-0.06
192401,-0.68
192402,-0.56
192403,-0.48
192404,-1.26
192405,0.08
192406,-0.41
192407,0.25
192408,-0.16
192409,0.13
192410,-0.42
192411,-0.65
192412,-0.87
192501,-1.13
192502,-0.48
192503,-0.48
192504,-0.43
192505,-0.39
192506,-0.43
192507,-0.94
192508,-0.92
192509,-1.43
192510,-0.61
192511,0.10
192512,0.43
192601,-0.36
192602,0.88
192603,-0.09
192604,0.16
192605,-1.05
192606,-0.63
192607,0.21
192608,-0.06
192609,-0.09
192610,0.24
192611,0.21
192612,-0.56
192701,-0.20
192702,-0.64
192703,-0.07
192704,-0.81
192705,-0.82
192706,-0.02
192707,-0.49
192708,-0.21
192709,-0.09
192710,0.02
192711,0.26
192712,-0.32
192801,-0.30
192802,-0.24
192803,0.20
192804,0.68
192805,-0.58
192806,-0.68
192807,-0.13
192808,0.73
192809,0.73
192810,0.05
192811,0.41
192812,0.40
192901,0.02
192902,0.51
192903,-0.71
192904,-1.02
192905,-0.85
192906,-0.86
192907,-1.37
192908,-0.33
192909,-0.86
192910,-0.44
192911,0.03
192912,-0.66
193001,-0.39
193002,0.08
193003,-0.33
193004,-0.36
193005,-0.26
193006,-0.16
193007,0.33
193008,-0.23
193009,-0.27
193010,-0.16
193011,0.06
193012,-0.49
193101,-0.46
193102,0.10
193103,-0.23
193104,-0.50
193105,-0.14
193106,-0.01
193107,-0.08
193108,-0.20
193109,-0.07
193110,-0.97
193111,-0.95
193112,-0.02
193201,0.81
193202,-0.29
193203,-0.06
193204,-0.62
193205,0.03
193206,-0.58
193207,-0.72
193208,-0.39
193209,-0.51
193210,-0.56
193211,-0.13
193212,-0.30
193301,-0.13
193302,-0.03
193303,0.30
193304,-0.17
193305,-0.15
193306,-0.04
193307,-0.35
193308,-0.84
193309,-0.45
193310,-0.17
193311,-0.75
193312,-0.63
193401,0.04
193402,0.03
193403,0.04
193404,-0.42
193405,0.01
193406,-0.34
193407,-0.19
193408,-0.34
193409,0.04
193410,-0.49
193411,-0.52
193412,-0.23
193501,-0.15
193502,-0.05
193503,-0.15
193504,-0.74
193505,-0.69
193506,-0.93
193507,-0.39
193508,0.02
193509,-0.37
193510,-0.15
193511,0.18
193512,-0.01
193601,0.24
193602,0.07
193603,-0.26
193604,-0.63
193605,-0.28
193606,-0.88
193607,0.08
193608,0.74
193609,-0.26
193610,0.10
193611,0.08
193612,-0.07
193701,-0.77
193702,-0.24
193703,-0.21
193704,-0.83
193705,0.07
193706,-0.52
193707,-0.56
193708,-0.10
193709,-0.25
193710,0.34
193711,0.49
193712,0.19
193801,-0.26
193802,-0.42
193803,0.58
193804,0.38
193805,0.76
193806,0.01
193807,-0.19
193808,-0.35
193809,0.12
193810,0.52
193811,0.54
193812,0.64
193901,0.37
193902,-0.37
193903,-0.47
193904,-0.01
193905,0.40
193906,-0.30
193907,-0.71
193908,-0.76
193909,-0.72
193910,-0.79
193911,-0.78
193912,-0.32
194001,-0.10
194002,-0.63
194003,0.30
194004,-0.52
194005,-0.96
194006,-0.11
194007,-0.32
194008,-0.04
194009,0.00
194010,0.59
194011,-0.42
194012,0.40
194101,-0.94
194102,-0.12
194103,-0.72
194104,0.38
194105,0.06
194106,-0.09
194107,0.20
194108,-0.44
194109,0.00
194110,-0.37
194111,0.17
194112,0.17
194201,0.06
194202,-0.56
194203,0.16
194204,0.04
194205,0.89
194206,0.65
194207,0.23
194208,0.68
194209,0.48
194210,-0.04
194211,-0.23
194212,-0.17
194301,-0.16
194302,-0.52
194303,0.40
194304,-0.22
194305,-0.73
194306,-0.90
194307,-0.35
194308,-0.64
194309,-0.05
194310,0.09
194311,-0.54
194312,-0.03
194401,0.29
194402,-0.59
194403,-0.32
194404,-0.79
194405,-0.99
194406,-0.32
194407,-0.14
194408,0.06
194409,0.65
194410,0.03
194411,0.71
194412,-0.19
194501,-0.10
194502,-0.21
194503,-0.23
194504,-0.07
194505,-0.12
194506,0.70
194507,-0.37
194508,0.86
194509,-0.02
194510,-0.69
194511,-0.36
194512,0.20
194601,0.12
194602,-0.56
194603,-0.73
194604,-0.88
194605,0.42
194606,-1.02
194607,0.09
194608,-0.16
194609,-0.40
194610,-0.75
194611,-0.16
194612,-0.03
194701,0.62
194702,0.04
194703,-0.19
194704,-0.66
194705,0.16
194706,0.35
194707,0.30
194708,-0.03
194709,-0.54
194710,-0.86
194711,-0.63
194712,-0.69
194801,-0.66
194802,0.12
194803,-0.62
194804,-0.53
194805,-0.55
194806,-0.53
194807,-0.21
194808,-0.05
194809,-0.37
194810,-0.12
194811,-0.36
194812,-0.21
194901,-0.66
194902,-1.23
194903,-0.76
194904,-1.09
194905,-0.81
194906,-1.29
194907,-0.12
194908,-0.09
194909,-0.62
194910,-0.28
194911,-0.69
194912,-0.11
195001,-0.17
195002,-0.52
195003,-0.56
195004,-0.31
195005,0.40
195006,-0.51
195007,-0.04
195008,-0.26
195009,0.08
195010,-0.72
195011,-0.50
195012,-0.47
195101,-0.44
195102,-0.22
195103,0.56
195104,-0.63
195105,-0.77
195106,0.11
195107,-0.21
195108,-0.88
195109,0.18
195110,-0.20
195111,0.25
195112,0.00
195201,0.24
195202,0.05
195203,0.04
195204,-0.23
195205,-0.25
195206,-0.26
195207,-0.34
195208,-0.38
195209,-0.13
195210,-0.26
195211,-0.58
195212,-0.23
195301,-0.59
195302,-1.13
195303,0.61
195304,0.79
195305,-0.42
195306,0.07
195307,-0.12
195308,-0.81
195309,-0.47
195310,-0.04
195311,-0.18
195312,0.31
195401,-0.21
195402,-0.56
195403,0.32
195404,0.07
195405,-0.19
195406,-0.42
195407,0.19
195408,0.09
195409,-0.21
195410,-0.18
195411,-0.22
195412,-0.17
195501,-0.09
195502,0.23
195503,-0.20
195504,-0.19
195505,-0.66
195506,0.12
195507,-0.27
195508,0.50
195509,0.32
195510,-0.11
195511,-0.82
195512,-0.56
195601,-0.31
195602,0.25
195603,-0.26
195604,-0.15
195605,-0.35
195606,-0.67
195607,0.05
195608,-0.85
195609,-1.00
195610,-0.80
195611,-0.67
195612,-0.44
195701,0.00
195702,-0.17
195703,-0.22
195704,0.71
195705,0.01
195706,1.21
195707,-0.92
195708,-0.10
195709,-0.37
195710,0.42
195711,0.49
195712,0.31
195801,0.07
195802,0.44
195803,0.44
195804,0.88
195805,1.47
195806,0.27
195807,0.44
195808,0.32
195809,-0.91
195810,-0.23
195811,0.05
195812,-0.19
195901,0.32
195902,0.18
195903,0.57
195904,0.46
195905,0.00
195906,0.27
195907,0.30
195908,0.32
195909,0.23
195910,0.11
195911,0.93
195912,-0.34
196001,0.45
196002,-0.13
196003,-0.01
196004,0.03
196005,-1.19
196006,-0.51
196007,0.18
196008,-0.79
196009,-0.35
196010,0.21
196011,-0.46
196012,-0.08
196101,0.11
196102,0.11
196103,0.40
196104,0.72
196105,-0.14
196106,-0.07
196107,-0.55
196108,-0.61
196109,0.40
196110,0.72
196111,0.11
196112,0.49
196201,0.02
196202,0.07
196203,-0.16
196204,-0.10
196205,-0.44
196206,1.06
196207,0.37
196208,-0.27
196209,-0.16
196210,-0.03
