# Title: South America Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Date,Anomaly
191001,-0.49
191002,-0.67
191003,-0.85
191004,-0.63
191005,-0.74
191006,0.08
191007,-0.19
191008,0.09
191009,-0.06
191010,-0.61
191011,-0.32
191012,-0.71
191101,-0.39
191102,-0.53
191103,-0.84
191104,-0.83
191105,-0.15
191106,-0.54
191107,-0.25
191108,-0.75
191109,-0.84
191110,-0.67
191111,0.12
191112,0.13
191201,-0.12
191202,0.11
191203,0.24
191204,0.09
191205,0.08
191206,0.15
191207,-0.78
191208,-0.07
191209,-0.73
191210,-0.47
191211,-0.31
191212,-0.56
191301,-0.55
191302,-0.11
191303,-0.42
191304,-0.23
191305,-0.24
191306,-0.25
191307,0.60
191308,0.08
191309,-0.33
191310,-0.22
191311,0.14
191312,-0.23
191401,0.02
191402,-0.25
191403,-0.14
191404,-0.45
191405,-0.15
191406,0.48
191407,0.78
191408,-0.52
191409,-0.33
191410,-0.24
191411,-0.36
191412,-0.13
191501,-0.08
191502,0.17
191503,-0.16
191504,0.48
191505,0.66
191506,-0.86
191507,0.29
191508,0.51
191509,-0.51
191510,-0.10
191511,-0.58
191512,-0.55
191601,-0.52
191602,-0.60
191603,-0.75
191604,-0.02
191605,-0.20
191606,-1.48
191607,-0.88
191608,-0.66
191609,0.24
191610,-0.21
191611,-0.34
191612,-1.22
191701,-1.03
191702,-0.92
191703,-1.16
191704,-0.86
191705,-1.66
191706,-1.11
191707,-0.84
191708,-0.90
191709,-0.66
191710,-0.95
191711,-1.20
191712,-0.87
191801,-1.20
191802,-1.12
191803,-0.91
191804,-0.71
191805,-0.85
191806,-0.76
191807,-0.63
191808,-1.05
191809,-0.69
191810,-0.81
191811,-0.62
191812,-0.33
191901,-0.14
191902,-0.22
191903,-0.17
191904,0.14
191905,0.34
191906,-0.13
191907,-0.40
191908,-1.02
191909,-0.75
191910,-0.53
191911,-0.73
191912,-0.48
192001,-0.19
192002,-0.46
192003,-0.44
192004,-0.37
192005,-0.47
192006,-1.02
192007,-0.89
192008,-0.95
192009,-0.46
192010,-0.29
192011,-0.33
192012,-0.70
192101,-0.46
192102,-0.66
192103,-0.75
192104,-0.57
192105,-0.03
192106,-1.16
192107,-1.11
192108,-0.46
192109,-0.70
192110,-0.89
192111,-0.66
192112,-0.45
192201,-0.65
192202,-0.53
192203,-0.56
192204,-0.60
192205,-0.71
192206,-0.70
192207,-0.02
192208,-0.60
192209,-0.47
192210,-1.03
192211,-0.80
192212,-0.69
192301,-0.78
192302,-0.35
192303,-0.31
192304,-0.62
192305,-1.20
192306,-0.29
192307,-1.05
192308,-0.86
192309,-0.56
192310,-0.96
192311,-0.61
192312,-0.68
192401,-0.42
192402,-0.31
192403,-0.39
192404,-0.41
192405,-0.95
192406,-0.59
192407,-0.86
192408,-1.24
192409,-1.16
192410,-1.00
192411,-0.86
192412,-0.59
192501,-0.78
192502,-0.61
192503,-0.52
192504,-0.34
192505,-0.60
192506,-0.85
192507,-0.96
192508,-0.07
192509,-0.68
192510,-0.79
192511,-0.13
192512,-0.04
192601,-0.01
192602,0.03
192603,0.28
192604,-0.18
192605,-0.62
192606,0.01
192607,-0.78
192608,-0.23
192609,0.02
192610,-0.29
192611,-0.03
192612,-0.68
192701,-0.08
192702,-0.20
192703,-0.07
192704,-0.32
192705,-0.81
192706,-0.86
192707,-0.71
192708,-0.34
192709,-0.71
192710,-0.41
192711,0.12
192712,-0.44
192801,-0.55
192802,-0.47
192803,-0.59
192804,0.00
192805,-0.37
192806,-0.55
192807,-0.39
192808,-1.09
192809,-0.67
192810,-0.62
192811,-0.04
192812,-0.60
192901,-0.20
192902,-0.38
192903,-0.58
192904,-0.15
192905,-0.78
192906,-0.76
192907,-0.48
192908,-0.74
192909,-0.22
192910,-0.36
192911,-0.18
192912,-0.43
193001,-0.30
193002,-0.32
193003,-0.21
193004,-0.28
193005,-0.19
193006,0.60
193007,-0.26
193008,-0.50
193009,-0.09
193010,-0.51
193011,-0.53
193012,0.05
193101,0.14
193102,0.25
193103,0.12
193104,-0.02
193105,-1.11
193106,-0.68
193107,-0.25
193108,-0.51
193109,-0.66
193110,0.12
193111,-0.59
193112,-0.04
193201,-0.30
193202,-0.28
193203,-0.34
193204,0.16
193205,-0.57
193206,-0.08
193207,0.40
193208,-0.48
193209,0.06
193210,-0.02
193211,0.14
